system:index,date,lat,long,srad,.geo
20210101,2021-01-01,34.181977,-118.363036,241.69000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,34.181977,-118.363036,238.8800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,34.181977,-118.363036,226.85000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,34.181977,-118.363036,253.33999633789062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,34.181977,-118.363036,271.55999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,34.181977,-118.363036,274.3999938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,34.181977,-118.363036,282.82000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,34.181977,-118.363036,282.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,34.181977,-118.363036,254.97000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,34.181977,-118.363036,270.6499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,34.181977,-118.363036,283.6499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,34.181977,-118.363036,280.9599914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,34.181977,-118.363036,295.6300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,34.181977,-118.363036,295.3500061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,34.181977,-118.363036,274.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,34.181977,-118.363036,272.1700134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,34.181977,-118.363036,282.4800109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,34.181977,-118.363036,294.7699890136719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,34.181977,-118.363036,241.77999877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,34.181977,-118.363036,235.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
