system:index,date,lat,long,srad,.geo
20210101,2021-01-01,33.901389,-118.205,268.69000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,33.901389,-118.205,231.92999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,33.901389,-118.205,194.72000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,33.901389,-118.205,202.50999450683594,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,33.901389,-118.205,183.97999572753906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,33.901389,-118.205,249.22000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,33.901389,-118.205,278.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,33.901389,-118.205,242.52999877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,33.901389,-118.205,296.55999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,33.901389,-118.205,272.04998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,33.901389,-118.205,294.6499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,33.901389,-118.205,280.0299987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,33.901389,-118.205,298.0799865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,33.901389,-118.205,307.3399963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,33.901389,-118.205,308.45001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,33.901389,-118.205,302.29998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,33.901389,-118.205,304.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,33.901389,-118.205,298.57000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,33.901389,-118.205,235.44000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,33.901389,-118.205,269.510009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,33.901389,-118.205,242.74000549316406,"{""type"":""MultiPoint"",""coordinates"":[]}"
