system:index,date,lat,long,srad,.geo
20210101,2021-01-01,34.01029,-118.0685,263.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,34.01029,-118.0685,231.0399932861328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,34.01029,-118.0685,215.50999450683594,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,34.01029,-118.0685,230.1999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,34.01029,-118.0685,246.64999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,34.01029,-118.0685,261.19000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,34.01029,-118.0685,276.1700134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,34.01029,-118.0685,256.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,34.01029,-118.0685,285.8999938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,34.01029,-118.0685,260.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,34.01029,-118.0685,282.739990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,34.01029,-118.0685,275.7200012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,34.01029,-118.0685,291.4599914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,34.01029,-118.0685,299.3999938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,34.01029,-118.0685,294.6000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,34.01029,-118.0685,286.1700134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,34.01029,-118.0685,286.760009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,34.01029,-118.0685,298.6000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
