system:index,date,lat,long,vp,.geo
20210101,2021-01-01,34.01029,-118.0685,1064.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,34.01029,-118.0685,1101.550048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,34.01029,-118.0685,1112.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,34.01029,-118.0685,1061.739990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,34.01029,-118.0685,1066.800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,34.01029,-118.0685,1194.5400390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,34.01029,-118.0685,1142.739990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,34.01029,-118.0685,1159.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,34.01029,-118.0685,1067.199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,34.01029,-118.0685,1223.31005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,34.01029,-118.0685,1146.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,34.01029,-118.0685,1205.280029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,34.01029,-118.0685,1231.4300537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,34.01029,-118.0685,1426.1400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,34.01029,-118.0685,1649.760009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,34.01029,-118.0685,1671.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,34.01029,-118.0685,1629.18994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,34.01029,-118.0685,1286.3399658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,34.01029,-118.0685,1340.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,34.01029,-118.0685,1599.81005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,34.01029,-118.0685,1387.699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210122,2021-01-22,34.01029,-118.0685,1249.280029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210123,2021-01-23,34.01029,-118.0685,1117.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210124,2021-01-24,34.01029,-118.0685,911.1599731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210125,2021-01-25,34.01029,-118.0685,917.8499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210126,2021-01-26,34.01029,-118.0685,818.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210127,2021-01-27,34.01029,-118.0685,1098.1700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210128,2021-01-28,34.01029,-118.0685,1018.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210129,2021-01-29,34.01029,-118.0685,1066.56005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210130,2021-01-30,34.01029,-118.0685,970.5499877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131,2021-01-31,34.01029,-118.0685,1146.5400390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,34.01029,-118.0685,1532.530029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210202,2021-02-02,34.01029,-118.0685,1345.8399658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210203,2021-02-03,34.01029,-118.0685,1154.9300537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210204,2021-02-04,34.01029,-118.0685,1206.93994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210205,2021-02-05,34.01029,-118.0685,1122.06005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210206,2021-02-06,34.01029,-118.0685,1144.81005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210207,2021-02-07,34.01029,-118.0685,1086.31005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210208,2021-02-08,34.01029,-118.0685,1155.219970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210209,2021-02-09,34.01029,-118.0685,1332.219970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210210,2021-02-10,34.01029,-118.0685,1266.9100341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210211,2021-02-11,34.01029,-118.0685,1089.0799560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210212,2021-02-12,34.01029,-118.0685,1386.4100341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210213,2021-02-13,34.01029,-118.0685,1255.219970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210214,2021-02-14,34.01029,-118.0685,1279.5999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210215,2021-02-15,34.01029,-118.0685,1186.510009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210216,2021-02-16,34.01029,-118.0685,1311.050048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210217,2021-02-17,34.01029,-118.0685,1102.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210218,2021-02-18,34.01029,-118.0685,1116.3599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210219,2021-02-19,34.01029,-118.0685,1088.3199462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210220,2021-02-20,34.01029,-118.0685,1047.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210221,2021-02-21,34.01029,-118.0685,1101.5899658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
