system:index,date,lat,long,vp,.geo
20210101,2021-01-01,34.276316,-118.683685,1116.7099609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,34.276316,-118.683685,999.1699829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,34.276316,-118.683685,983.47998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,34.276316,-118.683685,985.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,34.276316,-118.683685,1034.199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,34.276316,-118.683685,1342.52001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,34.276316,-118.683685,1243.1700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,34.276316,-118.683685,1178.52001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,34.276316,-118.683685,1349.93994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,34.276316,-118.683685,1224.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,34.276316,-118.683685,1220.550048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,34.276316,-118.683685,1174.6600341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,34.276316,-118.683685,1334.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,34.276316,-118.683685,1822.760009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,34.276316,-118.683685,2109.300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,34.276316,-118.683685,2040.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,34.276316,-118.683685,1819.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,34.276316,-118.683685,1299.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,34.276316,-118.683685,1259.6099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,34.276316,-118.683685,1588.5400390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,34.276316,-118.683685,1208.52001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210122,2021-01-22,34.276316,-118.683685,974.1699829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210123,2021-01-23,34.276316,-118.683685,910.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210124,2021-01-24,34.276316,-118.683685,823.6300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210125,2021-01-25,34.276316,-118.683685,835.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210126,2021-01-26,34.276316,-118.683685,697.280029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210127,2021-01-27,34.276316,-118.683685,945.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210128,2021-01-28,34.276316,-118.683685,949.6599731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210129,2021-01-29,34.276316,-118.683685,925.52001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210130,2021-01-30,34.276316,-118.683685,787.1799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131,2021-01-31,34.276316,-118.683685,1045.8399658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,34.276316,-118.683685,1423.550048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210202,2021-02-02,34.276316,-118.683685,1272.56005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210203,2021-02-03,34.276316,-118.683685,1063.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210204,2021-02-04,34.276316,-118.683685,968.0599975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210205,2021-02-05,34.276316,-118.683685,1133.06005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210206,2021-02-06,34.276316,-118.683685,1177.050048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210207,2021-02-07,34.276316,-118.683685,1123.1800537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210208,2021-02-08,34.276316,-118.683685,981.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210209,2021-02-09,34.276316,-118.683685,1043.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210210,2021-02-10,34.276316,-118.683685,1065.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210211,2021-02-11,34.276316,-118.683685,1019.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210212,2021-02-12,34.276316,-118.683685,1168.699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210213,2021-02-13,34.276316,-118.683685,1070.93994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210214,2021-02-14,34.276316,-118.683685,1242.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210215,2021-02-15,34.276316,-118.683685,1061.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210216,2021-02-16,34.276316,-118.683685,1025.1600341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210217,2021-02-17,34.276316,-118.683685,1092.010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210218,2021-02-18,34.276316,-118.683685,1134.300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210219,2021-02-19,34.276316,-118.683685,1005.5800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210220,2021-02-20,34.276316,-118.683685,1021.4299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210221,2021-02-21,34.276316,-118.683685,1187.280029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210222,2021-02-22,34.276316,-118.683685,1390.2900390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210223,2021-02-23,34.276316,-118.683685,1335.449951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210224,2021-02-24,34.276316,-118.683685,1194.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210225,2021-02-25,34.276316,-118.683685,1225.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210226,2021-02-26,34.276316,-118.683685,1176.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210227,2021-02-27,34.276316,-118.683685,1177.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210228,2021-02-28,34.276316,-118.683685,1244.949951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,2021-03-01,34.276316,-118.683685,1059.9000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210302,2021-03-02,34.276316,-118.683685,1034.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210303,2021-03-03,34.276316,-118.683685,887.7999877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210304,2021-03-04,34.276316,-118.683685,840.9500122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210305,2021-03-05,34.276316,-118.683685,1088.6800537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210306,2021-03-06,34.276316,-118.683685,1002.760009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210307,2021-03-07,34.276316,-118.683685,1057.199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210308,2021-03-08,34.276316,-118.683685,1068.449951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210309,2021-03-09,34.276316,-118.683685,891.6799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210310,2021-03-10,34.276316,-118.683685,880.4000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210311,2021-03-11,34.276316,-118.683685,775.780029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210312,2021-03-12,34.276316,-118.683685,742.0999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210313,2021-03-13,34.276316,-118.683685,811.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210314,2021-03-14,34.276316,-118.683685,1030.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210315,2021-03-15,34.276316,-118.683685,895.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210316,2021-03-16,34.276316,-118.683685,768.9099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210317,2021-03-17,34.276316,-118.683685,795.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210318,2021-03-18,34.276316,-118.683685,1097.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210319,2021-03-19,34.276316,-118.683685,1130.0899658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210320,2021-03-20,34.276316,-118.683685,1229.7099609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210321,2021-03-21,34.276316,-118.683685,1067.56005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210322,2021-03-22,34.276316,-118.683685,1013.4199829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210323,2021-03-23,34.276316,-118.683685,991.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210324,2021-03-24,34.276316,-118.683685,1192.4200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210325,2021-03-25,34.276316,-118.683685,974.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210326,2021-03-26,34.276316,-118.683685,920.8099975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210327,2021-03-27,34.276316,-118.683685,1019.0399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210328,2021-03-28,34.276316,-118.683685,1378.47998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210329,2021-03-29,34.276316,-118.683685,1282.8800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210330,2021-03-30,34.276316,-118.683685,1043.530029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210331,2021-03-31,34.276316,-118.683685,979.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,2021-04-01,34.276316,-118.683685,1004.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210402,2021-04-02,34.276316,-118.683685,805.3099975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210403,2021-04-03,34.276316,-118.683685,771.77001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210404,2021-04-04,34.276316,-118.683685,758.5999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210405,2021-04-05,34.276316,-118.683685,765.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210406,2021-04-06,34.276316,-118.683685,748.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210407,2021-04-07,34.276316,-118.683685,783.1799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210408,2021-04-08,34.276316,-118.683685,847.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210409,2021-04-09,34.276316,-118.683685,704.8200073242188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210410,2021-04-10,34.276316,-118.683685,841.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210411,2021-04-11,34.276316,-118.683685,737.72998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210412,2021-04-12,34.276316,-118.683685,865.9299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210413,2021-04-13,34.276316,-118.683685,1170.1600341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210414,2021-04-14,34.276316,-118.683685,842.0599975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210415,2021-04-15,34.276316,-118.683685,594.4600219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210416,2021-04-16,34.276316,-118.683685,639.72998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210417,2021-04-17,34.276316,-118.683685,641.0800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210418,2021-04-18,34.276316,-118.683685,911.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210419,2021-04-19,34.276316,-118.683685,829.6900024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210420,2021-04-20,34.276316,-118.683685,763.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210421,2021-04-21,34.276316,-118.683685,1270.0799560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210422,2021-04-22,34.276316,-118.683685,1043.010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210423,2021-04-23,34.276316,-118.683685,1004.9099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210424,2021-04-24,34.276316,-118.683685,869.8400268554688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210425,2021-04-25,34.276316,-118.683685,806.4000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210426,2021-04-26,34.276316,-118.683685,827.4199829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210427,2021-04-27,34.276316,-118.683685,595.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210428,2021-04-28,34.276316,-118.683685,510.6600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210429,2021-04-29,34.276316,-118.683685,641.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210430,2021-04-30,34.276316,-118.683685,746.3599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,2021-05-01,34.276316,-118.683685,537.8300170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210502,2021-05-02,34.276316,-118.683685,491.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210503,2021-05-03,34.276316,-118.683685,473.1000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210504,2021-05-04,34.276316,-118.683685,550.469970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210505,2021-05-05,34.276316,-118.683685,579.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210506,2021-05-06,34.276316,-118.683685,493.54998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210507,2021-05-07,34.276316,-118.683685,505.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210508,2021-05-08,34.276316,-118.683685,473.32000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210509,2021-05-09,34.276316,-118.683685,488.70001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210510,2021-05-10,34.276316,-118.683685,551.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210511,2021-05-11,34.276316,-118.683685,498.70001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210512,2021-05-12,34.276316,-118.683685,524.489990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210513,2021-05-13,34.276316,-118.683685,532.1900024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210514,2021-05-14,34.276316,-118.683685,519.2899780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210515,2021-05-15,34.276316,-118.683685,534.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210516,2021-05-16,34.276316,-118.683685,631.9500122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210517,2021-05-17,34.276316,-118.683685,520.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210518,2021-05-18,34.276316,-118.683685,492.9200134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210519,2021-05-19,34.276316,-118.683685,507.0400085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210520,2021-05-20,34.276316,-118.683685,471.82000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210521,2021-05-21,34.276316,-118.683685,414.04998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210522,2021-05-22,34.276316,-118.683685,398.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210523,2021-05-23,34.276316,-118.683685,416.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210524,2021-05-24,34.276316,-118.683685,560.5499877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210525,2021-05-25,34.276316,-118.683685,677.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210526,2021-05-26,34.276316,-118.683685,558.2000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210527,2021-05-27,34.276316,-118.683685,505.9800109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210528,2021-05-28,34.276316,-118.683685,495.04998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210529,2021-05-29,34.276316,-118.683685,496.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210530,2021-05-30,34.276316,-118.683685,507.42999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210531,2021-05-31,34.276316,-118.683685,547.0700073242188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,2021-06-01,34.276316,-118.683685,572.8400268554688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210602,2021-06-02,34.276316,-118.683685,579.5999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210603,2021-06-03,34.276316,-118.683685,547.8499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210604,2021-06-04,34.276316,-118.683685,579.8099975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210605,2021-06-05,34.276316,-118.683685,533.4099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210606,2021-06-06,34.276316,-118.683685,535.6799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210607,2021-06-07,34.276316,-118.683685,547.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210608,2021-06-08,34.276316,-118.683685,547.1799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210609,2021-06-09,34.276316,-118.683685,519.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210610,2021-06-10,34.276316,-118.683685,528.3599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210611,2021-06-11,34.276316,-118.683685,558.489990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210612,2021-06-12,34.276316,-118.683685,656.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210613,2021-06-13,34.276316,-118.683685,657.530029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210614,2021-06-14,34.276316,-118.683685,761.1500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210615,2021-06-15,34.276316,-118.683685,896.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210616,2021-06-16,34.276316,-118.683685,866.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210617,2021-06-17,34.276316,-118.683685,869.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210618,2021-06-18,34.276316,-118.683685,768.9299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210619,2021-06-19,34.276316,-118.683685,709.1400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210620,2021-06-20,34.276316,-118.683685,654.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210621,2021-06-21,34.276316,-118.683685,586.6300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210622,2021-06-22,34.276316,-118.683685,604.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210623,2021-06-23,34.276316,-118.683685,621.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210624,2021-06-24,34.276316,-118.683685,575.7899780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210625,2021-06-25,34.276316,-118.683685,623.1799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210626,2021-06-26,34.276316,-118.683685,696.0599975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210627,2021-06-27,34.276316,-118.683685,789.9600219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210628,2021-06-28,34.276316,-118.683685,751.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210629,2021-06-29,34.276316,-118.683685,705.0399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210630,2021-06-30,34.276316,-118.683685,675.1799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,2021-07-01,34.276316,-118.683685,686.760009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702,2021-07-02,34.276316,-118.683685,765.7000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703,2021-07-03,34.276316,-118.683685,775.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704,2021-07-04,34.276316,-118.683685,636.97998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705,2021-07-05,34.276316,-118.683685,658.489990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210706,2021-07-06,34.276316,-118.683685,654.9000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210707,2021-07-07,34.276316,-118.683685,748.9199829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210708,2021-07-08,34.276316,-118.683685,762.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210709,2021-07-09,34.276316,-118.683685,882.6599731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210710,2021-07-10,34.276316,-118.683685,869.2999877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210711,2021-07-11,34.276316,-118.683685,817.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712,2021-07-12,34.276316,-118.683685,770.8099975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713,2021-07-13,34.276316,-118.683685,807.5599975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210714,2021-07-14,34.276316,-118.683685,805.5800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210715,2021-07-15,34.276316,-118.683685,718.1599731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210716,2021-07-16,34.276316,-118.683685,694.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210717,2021-07-17,34.276316,-118.683685,711.0399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210718,2021-07-18,34.276316,-118.683685,830.280029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210719,2021-07-19,34.276316,-118.683685,925.5499877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210720,2021-07-20,34.276316,-118.683685,851.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210721,2021-07-21,34.276316,-118.683685,865.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210722,2021-07-22,34.276316,-118.683685,855.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210723,2021-07-23,34.276316,-118.683685,769.760009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210724,2021-07-24,34.276316,-118.683685,689.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
