system:index,date,lat,long,vp,.geo
20210101,2021-01-01,34.05111,-118.45636,1129.18994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,34.05111,-118.45636,1076.56005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,34.05111,-118.45636,1108.8199462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,34.05111,-118.45636,1071.22998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,34.05111,-118.45636,1116.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,34.05111,-118.45636,1230.949951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,34.05111,-118.45636,1128.5999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,34.05111,-118.45636,1149.6300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,34.05111,-118.45636,1239.3199462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,34.05111,-118.45636,1240.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,34.05111,-118.45636,1170.9300537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,34.05111,-118.45636,1229.22998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,34.05111,-118.45636,1272.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,34.05111,-118.45636,1499.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,34.05111,-118.45636,1845.77001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,34.05111,-118.45636,1758.6800537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,34.05111,-118.45636,1710.1700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,34.05111,-118.45636,1251.4100341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,34.05111,-118.45636,1336.8299560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,34.05111,-118.45636,1544.5400390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,34.05111,-118.45636,1356.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210122,2021-01-22,34.05111,-118.45636,1197.81005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210123,2021-01-23,34.05111,-118.45636,1073.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210124,2021-01-24,34.05111,-118.45636,888.719970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210125,2021-01-25,34.05111,-118.45636,958.4600219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210126,2021-01-26,34.05111,-118.45636,788.6900024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210127,2021-01-27,34.05111,-118.45636,1055.8399658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210128,2021-01-28,34.05111,-118.45636,981.72998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210129,2021-01-29,34.05111,-118.45636,1039.43994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210130,2021-01-30,34.05111,-118.45636,893.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131,2021-01-31,34.05111,-118.45636,1103.5799560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,34.05111,-118.45636,1545.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210202,2021-02-02,34.05111,-118.45636,1380.469970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210203,2021-02-03,34.05111,-118.45636,1158.6400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210204,2021-02-04,34.05111,-118.45636,1121.9000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210205,2021-02-05,34.05111,-118.45636,1112.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210206,2021-02-06,34.05111,-118.45636,1099.2099609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210207,2021-02-07,34.05111,-118.45636,1111.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210208,2021-02-08,34.05111,-118.45636,1121.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210209,2021-02-09,34.05111,-118.45636,1283.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210210,2021-02-10,34.05111,-118.45636,1177.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210211,2021-02-11,34.05111,-118.45636,1065.6099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210212,2021-02-12,34.05111,-118.45636,1334.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210213,2021-02-13,34.05111,-118.45636,1205.22998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210214,2021-02-14,34.05111,-118.45636,1447.510009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210215,2021-02-15,34.05111,-118.45636,1160.77001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
