system:index,date,lat,long,vp,.geo
20220101,2022-01-01,33.901389,-118.205,1070.1700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,33.901389,-118.205,922.010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,33.901389,-118.205,871.5800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,33.901389,-118.205,928.5399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,33.901389,-118.205,1008.5800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,33.901389,-118.205,1103.06005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,33.901389,-118.205,1120.4599609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,33.901389,-118.205,1214.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,33.901389,-118.205,1019.0800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,33.901389,-118.205,1288.4599609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,33.901389,-118.205,1281.0699462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,33.901389,-118.205,1243.1700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,33.901389,-118.205,1496.6400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,33.901389,-118.205,1320.31005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,33.901389,-118.205,1523.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,33.901389,-118.205,1602.5799560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,33.901389,-118.205,1665.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,33.901389,-118.205,1500.780029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,33.901389,-118.205,1290.8800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,33.901389,-118.205,1162.5799560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,33.901389,-118.205,1119.0699462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,33.901389,-118.205,1367.719970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,33.901389,-118.205,1223.9300537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,33.901389,-118.205,1100.800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,33.901389,-118.205,1110.4200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,33.901389,-118.205,1056.56005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,33.901389,-118.205,1030.969970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,33.901389,-118.205,1139.9000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,33.901389,-118.205,1240.4200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,33.901389,-118.205,1010.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,33.901389,-118.205,1039.3299560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,33.901389,-118.205,1238.8299560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,33.901389,-118.205,989.9299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,33.901389,-118.205,944.8099975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,33.901389,-118.205,1001.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,33.901389,-118.205,1003.0399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,33.901389,-118.205,999.1500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,33.901389,-118.205,1046.6700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,33.901389,-118.205,1005.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,33.901389,-118.205,1073.56005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,33.901389,-118.205,1302.6700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,33.901389,-118.205,1139.8299560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,33.901389,-118.205,1035.43994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,33.901389,-118.205,1173.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,33.901389,-118.205,1088.3599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,33.901389,-118.205,1232.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,33.901389,-118.205,935.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,33.901389,-118.205,912.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,33.901389,-118.205,893.510009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,33.901389,-118.205,919.719970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,33.901389,-118.205,1142.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221,2022-02-21,33.901389,-118.205,1391.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222,2022-02-22,33.901389,-118.205,1155.4100341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223,2022-02-23,33.901389,-118.205,1014.4099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224,2022-02-24,33.901389,-118.205,694.7899780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225,2022-02-25,33.901389,-118.205,728.1400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226,2022-02-26,33.901389,-118.205,721.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227,2022-02-27,33.901389,-118.205,797.7100219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228,2022-02-28,33.901389,-118.205,849.9099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,2022-03-01,33.901389,-118.205,925.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302,2022-03-02,33.901389,-118.205,934.0999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220303,2022-03-03,33.901389,-118.205,1158.9599609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304,2022-03-04,33.901389,-118.205,1340.8299560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305,2022-03-05,33.901389,-118.205,1197.22998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306,2022-03-06,33.901389,-118.205,801.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220307,2022-03-07,33.901389,-118.205,712.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308,2022-03-08,33.901389,-118.205,770.0999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220309,2022-03-09,33.901389,-118.205,915.6799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310,2022-03-10,33.901389,-118.205,1232.5400390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311,2022-03-11,33.901389,-118.205,792.2000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312,2022-03-12,33.901389,-118.205,626.5599975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313,2022-03-13,33.901389,-118.205,712.2999877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220314,2022-03-14,33.901389,-118.205,770.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315,2022-03-15,33.901389,-118.205,692.739990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316,2022-03-16,33.901389,-118.205,715.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220317,2022-03-17,33.901389,-118.205,584.9299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220318,2022-03-18,33.901389,-118.205,662.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319,2022-03-19,33.901389,-118.205,1039.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320,2022-03-20,33.901389,-118.205,831.1699829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321,2022-03-21,33.901389,-118.205,679.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220322,2022-03-22,33.901389,-118.205,551.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323,2022-03-23,33.901389,-118.205,682.010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220324,2022-03-24,33.901389,-118.205,736.6599731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220325,2022-03-25,33.901389,-118.205,694.5800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326,2022-03-26,33.901389,-118.205,949.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327,2022-03-27,33.901389,-118.205,1199.47998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220328,2022-03-28,33.901389,-118.205,1336.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220329,2022-03-29,33.901389,-118.205,1124.43994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220330,2022-03-30,33.901389,-118.205,1053.3299560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331,2022-03-31,33.901389,-118.205,1529.3900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,2022-04-01,33.901389,-118.205,522.8400268554688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220402,2022-04-02,33.901389,-118.205,782.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220403,2022-04-03,33.901389,-118.205,781.3300170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404,2022-04-04,33.901389,-118.205,546.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405,2022-04-05,33.901389,-118.205,520.6400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406,2022-04-06,33.901389,-118.205,587.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220407,2022-04-07,33.901389,-118.205,675.4099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408,2022-04-08,33.901389,-118.205,799.47998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220409,2022-04-09,33.901389,-118.205,703.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410,2022-04-10,33.901389,-118.205,931.6699829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411,2022-04-11,33.901389,-118.205,590.4299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412,2022-04-12,33.901389,-118.205,499.4599914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220413,2022-04-13,33.901389,-118.205,463.2200012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220414,2022-04-14,33.901389,-118.205,461.4200134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415,2022-04-15,33.901389,-118.205,508.95001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416,2022-04-16,33.901389,-118.205,561.8800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417,2022-04-17,33.901389,-118.205,555.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220418,2022-04-18,33.901389,-118.205,526.469970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419,2022-04-19,33.901389,-118.205,606.2999877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220420,2022-04-20,33.901389,-118.205,556.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220421,2022-04-21,33.901389,-118.205,485.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422,2022-04-22,33.901389,-118.205,807.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423,2022-04-23,33.901389,-118.205,493.95001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220424,2022-04-24,33.901389,-118.205,558.7100219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220425,2022-04-25,33.901389,-118.205,610.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220426,2022-04-26,33.901389,-118.205,608.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427,2022-04-27,33.901389,-118.205,575.0499877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428,2022-04-28,33.901389,-118.205,676.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220429,2022-04-29,33.901389,-118.205,513.5399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430,2022-04-30,33.901389,-118.205,535.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,2022-05-01,33.901389,-118.205,583.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
