system:index,date,lat,long,tmax,.geo
20220101,2022-01-01,34.06659,-118.22688,17.889999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,34.06659,-118.22688,19.200000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,34.06659,-118.22688,17.969999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,34.06659,-118.22688,19.3799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,34.06659,-118.22688,22.649999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,34.06659,-118.22688,21.899999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,34.06659,-118.22688,15.630000114440918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,34.06659,-118.22688,19.8799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,34.06659,-118.22688,24.280000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,34.06659,-118.22688,24.530000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,34.06659,-118.22688,26.049999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,34.06659,-118.22688,24.969999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,34.06659,-118.22688,23.200000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,34.06659,-118.22688,23.860000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,34.06659,-118.22688,22.440000534057617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,34.06659,-118.22688,23.479999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,34.06659,-118.22688,18.18000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,34.06659,-118.22688,18.18000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,34.06659,-118.22688,20.350000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,34.06659,-118.22688,24.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,34.06659,-118.22688,22.229999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,34.06659,-118.22688,23.520000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,34.06659,-118.22688,23.850000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,34.06659,-118.22688,21.770000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,34.06659,-118.22688,20.809999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,34.06659,-118.22688,22.729999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,34.06659,-118.22688,22.889999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,34.06659,-118.22688,23.100000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,34.06659,-118.22688,22.040000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,34.06659,-118.22688,20.8799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,34.06659,-118.22688,17.670000076293945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,34.06659,-118.22688,18.389999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,34.06659,-118.22688,19.780000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,34.06659,-118.22688,20.530000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,34.06659,-118.22688,22.170000076293945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,34.06659,-118.22688,24.1200008392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,34.06659,-118.22688,25.889999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,34.06659,-118.22688,26.65999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,34.06659,-118.22688,28.579999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,34.06659,-118.22688,30.670000076293945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,34.06659,-118.22688,30.3799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,34.06659,-118.22688,30.280000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,34.06659,-118.22688,31.950000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,34.06659,-118.22688,30.010000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,34.06659,-118.22688,24.15999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,34.06659,-118.22688,17.899999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,34.06659,-118.22688,19.93000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,34.06659,-118.22688,22.989999771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,34.06659,-118.22688,24.809999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,34.06659,-118.22688,23.649999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,34.06659,-118.22688,19.959999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221,2022-02-21,34.06659,-118.22688,16.40999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222,2022-02-22,34.06659,-118.22688,15.380000114440918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223,2022-02-23,34.06659,-118.22688,15.399999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224,2022-02-24,34.06659,-118.22688,17.610000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225,2022-02-25,34.06659,-118.22688,19.43000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226,2022-02-26,34.06659,-118.22688,23.1200008392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227,2022-02-27,34.06659,-118.22688,27.100000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228,2022-02-28,34.06659,-118.22688,29.770000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,2022-03-01,34.06659,-118.22688,29.6299991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302,2022-03-02,34.06659,-118.22688,27.149999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220303,2022-03-03,34.06659,-118.22688,20.309999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304,2022-03-04,34.06659,-118.22688,17.3700008392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305,2022-03-05,34.06659,-118.22688,16.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306,2022-03-06,34.06659,-118.22688,19.139999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220307,2022-03-07,34.06659,-118.22688,21.959999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308,2022-03-08,34.06659,-118.22688,21.770000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220309,2022-03-09,34.06659,-118.22688,20.889999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310,2022-03-10,34.06659,-118.22688,21.389999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311,2022-03-11,34.06659,-118.22688,24.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312,2022-03-12,34.06659,-118.22688,25.09000015258789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313,2022-03-13,34.06659,-118.22688,23.84000015258789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220314,2022-03-14,34.06659,-118.22688,25.219999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315,2022-03-15,34.06659,-118.22688,24.700000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316,2022-03-16,34.06659,-118.22688,27.06999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220317,2022-03-17,34.06659,-118.22688,27.709999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220318,2022-03-18,34.06659,-118.22688,25.790000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319,2022-03-19,34.06659,-118.22688,22.3799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320,2022-03-20,34.06659,-118.22688,24.809999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321,2022-03-21,34.06659,-118.22688,27.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220322,2022-03-22,34.06659,-118.22688,30.600000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323,2022-03-23,34.06659,-118.22688,31.139999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220324,2022-03-24,34.06659,-118.22688,29.299999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220325,2022-03-25,34.06659,-118.22688,26.770000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326,2022-03-26,34.06659,-118.22688,24.93000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327,2022-03-27,34.06659,-118.22688,21.18000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220328,2022-03-28,34.06659,-118.22688,18.31999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220329,2022-03-29,34.06659,-118.22688,20.260000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220330,2022-03-30,34.06659,-118.22688,20.3799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331,2022-03-31,34.06659,-118.22688,19.6299991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,2022-04-01,34.06659,-118.22688,21.020000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220402,2022-04-02,34.06659,-118.22688,18.829999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220403,2022-04-03,34.06659,-118.22688,20.959999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404,2022-04-04,34.06659,-118.22688,24.079999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405,2022-04-05,34.06659,-118.22688,29.56999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406,2022-04-06,34.06659,-118.22688,33.72999954223633,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220407,2022-04-07,34.06659,-118.22688,36.72999954223633,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408,2022-04-08,34.06659,-118.22688,35.689998626708984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220409,2022-04-09,34.06659,-118.22688,28.3799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410,2022-04-10,34.06659,-118.22688,21.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411,2022-04-11,34.06659,-118.22688,20.360000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412,2022-04-12,34.06659,-118.22688,21.829999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220413,2022-04-13,34.06659,-118.22688,21.950000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220414,2022-04-14,34.06659,-118.22688,22.15999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415,2022-04-15,34.06659,-118.22688,21.950000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416,2022-04-16,34.06659,-118.22688,22.579999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417,2022-04-17,34.06659,-118.22688,23.209999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220418,2022-04-18,34.06659,-118.22688,24.290000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419,2022-04-19,34.06659,-118.22688,22.610000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220420,2022-04-20,34.06659,-118.22688,21.510000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220421,2022-04-21,34.06659,-118.22688,20.610000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422,2022-04-22,34.06659,-118.22688,21.270000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423,2022-04-23,34.06659,-118.22688,26.139999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220424,2022-04-24,34.06659,-118.22688,31.219999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220425,2022-04-25,34.06659,-118.22688,31.809999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220426,2022-04-26,34.06659,-118.22688,27.579999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427,2022-04-27,34.06659,-118.22688,23.079999923706055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428,2022-04-28,34.06659,-118.22688,22.030000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220429,2022-04-29,34.06659,-118.22688,24.209999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430,2022-04-30,34.06659,-118.22688,25.34000015258789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,2022-05-01,34.06659,-118.22688,23.469999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220502,2022-05-02,34.06659,-118.22688,22.639999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220503,2022-05-03,34.06659,-118.22688,24.299999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220504,2022-05-04,34.06659,-118.22688,27.06999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220505,2022-05-05,34.06659,-118.22688,26.3700008392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220506,2022-05-06,34.06659,-118.22688,25.81999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220507,2022-05-07,34.06659,-118.22688,24.1299991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220508,2022-05-08,34.06659,-118.22688,20.670000076293945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220509,2022-05-09,34.06659,-118.22688,21.280000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220510,2022-05-10,34.06659,-118.22688,21.989999771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220511,2022-05-11,34.06659,-118.22688,23.68000030517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220512,2022-05-12,34.06659,-118.22688,29.6200008392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220513,2022-05-13,34.06659,-118.22688,32.90999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220514,2022-05-14,34.06659,-118.22688,33.7599983215332,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515,2022-05-15,34.06659,-118.22688,29.100000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220516,2022-05-16,34.06659,-118.22688,23.81999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220517,2022-05-17,34.06659,-118.22688,23.940000534057617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220518,2022-05-18,34.06659,-118.22688,23.969999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220519,2022-05-19,34.06659,-118.22688,21.229999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220520,2022-05-20,34.06659,-118.22688,20.459999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220521,2022-05-21,34.06659,-118.22688,21.770000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220522,2022-05-22,34.06659,-118.22688,23.040000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220523,2022-05-23,34.06659,-118.22688,23.899999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220524,2022-05-24,34.06659,-118.22688,25.149999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220525,2022-05-25,34.06659,-118.22688,25.040000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220526,2022-05-26,34.06659,-118.22688,24.940000534057617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220527,2022-05-27,34.06659,-118.22688,23.200000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220528,2022-05-28,34.06659,-118.22688,22.15999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220529,2022-05-29,34.06659,-118.22688,23.860000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220530,2022-05-30,34.06659,-118.22688,24.889999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220531,2022-05-31,34.06659,-118.22688,27.290000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,2022-06-01,34.06659,-118.22688,28.989999771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220602,2022-06-02,34.06659,-118.22688,26.780000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220603,2022-06-03,34.06659,-118.22688,24.81999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220604,2022-06-04,34.06659,-118.22688,24.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220605,2022-06-05,34.06659,-118.22688,26.479999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220606,2022-06-06,34.06659,-118.22688,27.389999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220607,2022-06-07,34.06659,-118.22688,27.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220608,2022-06-08,34.06659,-118.22688,28.09000015258789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220609,2022-06-09,34.06659,-118.22688,29.989999771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220610,2022-06-10,34.06659,-118.22688,30.350000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220611,2022-06-11,34.06659,-118.22688,29.06999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220612,2022-06-12,34.06659,-118.22688,27.649999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220613,2022-06-13,34.06659,-118.22688,26.989999771118164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220614,2022-06-14,34.06659,-118.22688,28.790000915527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220615,2022-06-15,34.06659,-118.22688,29.299999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220616,2022-06-16,34.06659,-118.22688,28.09000015258789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220617,2022-06-17,34.06659,-118.22688,25.440000534057617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220618,2022-06-18,34.06659,-118.22688,25.8799991607666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220619,2022-06-19,34.06659,-118.22688,29.649999618530273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220620,2022-06-20,34.06659,-118.22688,34.189998626708984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220621,2022-06-21,34.06659,-118.22688,31.760000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220622,2022-06-22,34.06659,-118.22688,30.889999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220623,2022-06-23,34.06659,-118.22688,31.81999969482422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220624,2022-06-24,34.06659,-118.22688,32.0099983215332,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220625,2022-06-25,34.06659,-118.22688,32.310001373291016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220626,2022-06-26,34.06659,-118.22688,32.400001525878906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627,2022-06-27,34.06659,-118.22688,33.220001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220628,2022-06-28,34.06659,-118.22688,33.13999938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220629,2022-06-29,34.06659,-118.22688,32.209999084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220630,2022-06-30,34.06659,-118.22688,31.020000457763672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701,2022-07-01,34.06659,-118.22688,29.84000015258789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702,2022-07-02,34.06659,-118.22688,28.110000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703,2022-07-03,34.06659,-118.22688,26.799999237060547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220704,2022-07-04,34.06659,-118.22688,26.850000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220705,2022-07-05,34.06659,-118.22688,27.760000228881836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220706,2022-07-06,34.06659,-118.22688,29.309999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220707,2022-07-07,34.06659,-118.22688,29.979999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220708,2022-07-08,34.06659,-118.22688,29.969999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220709,2022-07-09,34.06659,-118.22688,30.100000381469727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220710,2022-07-10,34.06659,-118.22688,30.450000762939453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220711,2022-07-11,34.06659,-118.22688,28.309999465942383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220712,2022-07-12,34.06659,-118.22688,27.40999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220713,2022-07-13,34.06659,-118.22688,27.219999313354492,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220714,2022-07-14,34.06659,-118.22688,28.360000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220715,2022-07-15,34.06659,-118.22688,30.030000686645508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220716,2022-07-16,34.06659,-118.22688,30.979999542236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220717,2022-07-17,34.06659,-118.22688,34.119998931884766,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220718,2022-07-18,34.06659,-118.22688,32.65999984741211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220719,2022-07-19,34.06659,-118.22688,32.279998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220720,2022-07-20,34.06659,-118.22688,32.38999938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
