system:index,date,lat,long,vp,.geo
20220101,2022-01-01,34.06659,-118.22688,1022.1699829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,34.06659,-118.22688,898.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,34.06659,-118.22688,880.22998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,34.06659,-118.22688,901.010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,34.06659,-118.22688,1019.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,34.06659,-118.22688,1149.8399658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,34.06659,-118.22688,1077.0400390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,34.06659,-118.22688,1136.219970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,34.06659,-118.22688,1005.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,34.06659,-118.22688,1274.4300537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,34.06659,-118.22688,1264.4000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,34.06659,-118.22688,1283.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,34.06659,-118.22688,1491.449951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,34.06659,-118.22688,1338.81005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,34.06659,-118.22688,1469.8499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,34.06659,-118.22688,1595.6800537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,34.06659,-118.22688,1571.7099609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,34.06659,-118.22688,1464.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,34.06659,-118.22688,1226.68994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,34.06659,-118.22688,1166.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,34.06659,-118.22688,1154.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,34.06659,-118.22688,1412.7900390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,34.06659,-118.22688,1231.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,34.06659,-118.22688,1150.449951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,34.06659,-118.22688,1067.9300537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,34.06659,-118.22688,1038.52001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,34.06659,-118.22688,1065.1500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,34.06659,-118.22688,1137.8800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,34.06659,-118.22688,1244.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,34.06659,-118.22688,1016.0700073242188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,34.06659,-118.22688,1059.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
