system:index,date,lat,long,prcp,.geo
20220101,2022-01-01,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,34.181977,-118.363036,3.430000066757202,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221,2022-02-21,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222,2022-02-22,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223,2022-02-23,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224,2022-02-24,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225,2022-02-25,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226,2022-02-26,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227,2022-02-27,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228,2022-02-28,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,2022-03-01,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302,2022-03-02,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220303,2022-03-03,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304,2022-03-04,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305,2022-03-05,34.181977,-118.363036,1.5099999904632568,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306,2022-03-06,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220307,2022-03-07,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308,2022-03-08,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220309,2022-03-09,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310,2022-03-10,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311,2022-03-11,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312,2022-03-12,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313,2022-03-13,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220314,2022-03-14,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315,2022-03-15,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316,2022-03-16,34.181977,-118.363036,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
