system:index,date,lat,long,srad,.geo
20220101,2022-01-01,34.01029,-118.0685,213.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,34.01029,-118.0685,264.05999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,34.01029,-118.0685,262.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,34.01029,-118.0685,267.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,34.01029,-118.0685,282.45001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,34.01029,-118.0685,263.3599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,34.01029,-118.0685,184.52000427246094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,34.01029,-118.0685,217.22999572753906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,34.01029,-118.0685,301.6499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,34.01029,-118.0685,257.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,34.01029,-118.0685,275.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,34.01029,-118.0685,269.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,34.01029,-118.0685,210.17999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,34.01029,-118.0685,263.8500061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,34.01029,-118.0685,195.2899932861328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,34.01029,-118.0685,220.00999450683594,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,34.01029,-118.0685,84.91999816894531,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,34.01029,-118.0685,132.64999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,34.01029,-118.0685,222.2899932861328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,34.01029,-118.0685,299.3900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,34.01029,-118.0685,279.6700134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,34.01029,-118.0685,254.05999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,34.01029,-118.0685,294.1700134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,34.01029,-118.0685,285.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,34.01029,-118.0685,288.54998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,34.01029,-118.0685,315.5899963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,34.01029,-118.0685,313.9100036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,34.01029,-118.0685,303.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,34.01029,-118.0685,264.3299865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,34.01029,-118.0685,310.6499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,34.01029,-118.0685,259.2900085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,34.01029,-118.0685,232.72000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,34.01029,-118.0685,308.1000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,34.01029,-118.0685,326.9599914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,34.01029,-118.0685,338.6000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,34.01029,-118.0685,345.2799987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,34.01029,-118.0685,354.94000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,34.01029,-118.0685,331.5400085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,34.01029,-118.0685,348.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,34.01029,-118.0685,351.1600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,34.01029,-118.0685,324.010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,34.01029,-118.0685,344.55999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,34.01029,-118.0685,362.0899963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,34.01029,-118.0685,345.04998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,34.01029,-118.0685,321.7200012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,34.01029,-118.0685,231.30999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,34.01029,-118.0685,320.7699890136719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,34.01029,-118.0685,353.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,34.01029,-118.0685,350.95001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,34.01029,-118.0685,355.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,34.01029,-118.0685,299.8399963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221,2022-02-21,34.01029,-118.0685,168.97999572753906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222,2022-02-22,34.01029,-118.0685,207.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223,2022-02-23,34.01029,-118.0685,266.9599914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224,2022-02-24,34.01029,-118.0685,367.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225,2022-02-25,34.01029,-118.0685,365.2799987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226,2022-02-26,34.01029,-118.0685,394.82000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227,2022-02-27,34.01029,-118.0685,409.5400085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228,2022-02-28,34.01029,-118.0685,408.2300109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
