system:index,date,lat,long,ndvi,.geo
2021_01_01,2021-01-01,34.181977,-118.363036,0.24590164422988892,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_02,2021-01-02,34.181977,-118.363036,0.25396105647087097,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_03,2021-01-03,34.181977,-118.363036,0.2532274127006531,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_04,2021-01-04,34.181977,-118.363036,0.2904578745365143,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_05,2021-01-05,34.181977,-118.363036,0.25058111548423767,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_06,2021-01-06,34.181977,-118.363036,0.32971012592315674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_07,2021-01-07,34.181977,-118.363036,0.15271885693073273,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_08,2021-01-08,34.181977,-118.363036,0.2871704697608948,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,2021-01-09,34.181977,-118.363036,0.26146164536476135,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_10,2021-01-10,34.181977,-118.363036,0.053414471447467804,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_11,2021-01-11,34.181977,-118.363036,0.3545757830142975,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_12,2021-01-12,34.181977,-118.363036,0.21831609308719635,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_13,2021-01-13,34.181977,-118.363036,0.02245934121310711,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_14,2021-01-14,34.181977,-118.363036,0.27626457810401917,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_15,2021-01-15,34.181977,-118.363036,0.3424850404262543,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_16,2021-01-16,34.181977,-118.363036,0.19161675870418549,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,2021-01-17,34.181977,-118.363036,0.3012048304080963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_18,2021-01-18,34.181977,-118.363036,0.30488643050193787,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_19,2021-01-19,34.181977,-118.363036,0.23029892146587372,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_20,2021-01-20,34.181977,-118.363036,0.3425683379173279,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_21,2021-01-21,34.181977,-118.363036,0.2602902054786682,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_22,2021-01-22,34.181977,-118.363036,0.06426332145929337,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_23,2021-01-23,34.181977,-118.363036,0.007084541954100132,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_24,2021-01-24,34.181977,-118.363036,0.25501641631126404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_25,2021-01-25,34.181977,-118.363036,0.0441073514521122,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_26,2021-01-26,34.181977,-118.363036,0.24202224612236023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_27,2021-01-27,34.181977,-118.363036,0.008972633630037308,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_28,2021-01-28,34.181977,-118.363036,0.11463414132595062,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_29,2021-01-29,34.181977,-118.363036,-0.007216763682663441,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_30,2021-01-30,34.181977,-118.363036,0.3180055320262909,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_31,2021-01-31,34.181977,-118.363036,0.05225924402475357,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_01,2021-02-01,34.181977,-118.363036,-7.651110063306987E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_02,2021-02-02,34.181977,-118.363036,0.30599144101142883,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_03,2021-02-03,34.181977,-118.363036,0.2686369717121124,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_04,2021-02-04,34.181977,-118.363036,0.3004956841468811,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_05,2021-02-05,34.181977,-118.363036,0.3202226459980011,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_06,2021-02-06,34.181977,-118.363036,0.24780017137527466,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_07,2021-02-07,34.181977,-118.363036,0.2863816022872925,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_08,2021-02-08,34.181977,-118.363036,0.270547091960907,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_09,2021-02-09,34.181977,-118.363036,0.010307591408491135,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_10,2021-02-10,34.181977,-118.363036,0.07603565603494644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_11,2021-02-11,34.181977,-118.363036,0.18713286519050598,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_12,2021-02-12,34.181977,-118.363036,0.27881842851638794,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_13,2021-02-13,34.181977,-118.363036,0.1574864238500595,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_14,2021-02-14,34.181977,-118.363036,0.28234049677848816,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_15,2021-02-15,34.181977,-118.363036,0.1104247123003006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_16,2021-02-16,34.181977,-118.363036,0.18170395493507385,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_17,2021-02-17,34.181977,-118.363036,0.2891196608543396,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_18,2021-02-18,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_19,2021-02-19,34.181977,-118.363036,0.27126947045326233,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_20,2021-02-20,34.181977,-118.363036,0.3105739951133728,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_21,2021-02-21,34.181977,-118.363036,0.2747625410556793,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_22,2021-02-22,34.181977,-118.363036,0.3193802535533905,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_23,2021-02-23,34.181977,-118.363036,0.3401915431022644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_24,2021-02-24,34.181977,-118.363036,0.2789999842643738,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_25,2021-02-25,34.181977,-118.363036,0.2833448648452759,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_26,2021-02-26,34.181977,-118.363036,0.3367018699645996,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_27,2021-02-27,34.181977,-118.363036,0.2888750433921814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_28,2021-02-28,34.181977,-118.363036,0.26447877287864685,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_01,2021-03-01,34.181977,-118.363036,0.27915194630622864,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_02,2021-03-02,34.181977,-118.363036,0.3293455243110657,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_03,2021-03-03,34.181977,-118.363036,0.0018873319495469332,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_04,2021-03-04,34.181977,-118.363036,0.2895646393299103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_05,2021-03-05,34.181977,-118.363036,0.31173503398895264,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_06,2021-03-06,34.181977,-118.363036,0.2939666211605072,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_07,2021-03-07,34.181977,-118.363036,0.01604076288640499,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_08,2021-03-08,34.181977,-118.363036,0.11491979658603668,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_09,2021-03-09,34.181977,-118.363036,0.04061965271830559,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_10,2021-03-10,34.181977,-118.363036,-0.007288629654794931,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_11,2021-03-11,34.181977,-118.363036,0.01668056845664978,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_12,2021-03-12,34.181977,-118.363036,0.29183268547058105,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_13,2021-03-13,34.181977,-118.363036,0.30385637283325195,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_14,2021-03-14,34.181977,-118.363036,0.05289218947291374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_15,2021-03-15,34.181977,-118.363036,0.33162829279899597,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_16,2021-03-16,34.181977,-118.363036,0.31578946113586426,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_17,2021-03-17,34.181977,-118.363036,0.2406982034444809,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_18,2021-03-18,34.181977,-118.363036,0.30799999833106995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_19,2021-03-19,34.181977,-118.363036,0.26640355587005615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_20,2021-03-20,34.181977,-118.363036,0.26381129026412964,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_21,2021-03-21,34.181977,-118.363036,0.33396095037460327,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_22,2021-03-22,34.181977,-118.363036,0.2991029918193817,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_23,2021-03-23,34.181977,-118.363036,0.26566755771636963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_24,2021-03-24,34.181977,-118.363036,0.2666081488132477,"{""type"":""MultiPoint"",""coordinates"":[]}"
