system:index,date,lat,long,ndvi,.geo
2021_01_01,2021-01-01,34.1326,-118.1272,0.5031210780143738,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_02,2021-01-02,34.1326,-118.1272,0.5238828659057617,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_03,2021-01-03,34.1326,-118.1272,0.5011119246482849,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_04,2021-01-04,34.1326,-118.1272,0.5374947190284729,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_05,2021-01-05,34.1326,-118.1272,0.4332292675971985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_06,2021-01-06,34.1326,-118.1272,0.5732142925262451,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_07,2021-01-07,34.1326,-118.1272,0.46035245060920715,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_08,2021-01-08,34.1326,-118.1272,0.5133985877037048,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,2021-01-09,34.1326,-118.1272,0.49507322907447815,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_10,2021-01-10,34.1326,-118.1272,0.38465940952301025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_11,2021-01-11,34.1326,-118.1272,0.5788407921791077,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_12,2021-01-12,34.1326,-118.1272,0.45655080676078796,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_13,2021-01-13,34.1326,-118.1272,0.025232402607798576,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_14,2021-01-14,34.1326,-118.1272,0.5315024256706238,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_15,2021-01-15,34.1326,-118.1272,0.528263509273529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_16,2021-01-16,34.1326,-118.1272,0.330323189496994,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,2021-01-17,34.1326,-118.1272,0.5025510191917419,"{""type"":""MultiPoint"",""coordinates"":[]}"
