system:index,date,lat,long,ndvi,.geo
2021_01_01,2021-01-01,34.01029,-118.0685,0.2608221173286438,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_02,2021-01-02,34.01029,-118.0685,0.27248018980026245,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_03,2021-01-03,34.01029,-118.0685,0.2671912610530853,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_04,2021-01-04,34.01029,-118.0685,0.28591451048851013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_05,2021-01-05,34.01029,-118.0685,0.10268780589103699,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_06,2021-01-06,34.01029,-118.0685,0.29228541254997253,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_07,2021-01-07,34.01029,-118.0685,0.12279750406742096,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_08,2021-01-08,34.01029,-118.0685,0.2616384029388428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,2021-01-09,34.01029,-118.0685,0.24550898373126984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_10,2021-01-10,34.01029,-118.0685,0.20229634642601013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_11,2021-01-11,34.01029,-118.0685,0.29435575008392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_12,2021-01-12,34.01029,-118.0685,0.24731861054897308,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_13,2021-01-13,34.01029,-118.0685,0.007315227761864662,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_14,2021-01-14,34.01029,-118.0685,0.2561505138874054,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_15,2021-01-15,34.01029,-118.0685,0.2726655602455139,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_16,2021-01-16,34.01029,-118.0685,0.2613312602043152,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,2021-01-17,34.01029,-118.0685,0.2531508803367615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_18,2021-01-18,34.01029,-118.0685,0.2920723259449005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_19,2021-01-19,34.01029,-118.0685,0.2570224702358246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_20,2021-01-20,34.01029,-118.0685,0.3465569019317627,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_21,2021-01-21,34.01029,-118.0685,0.2638635039329529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_22,2021-01-22,34.01029,-118.0685,0.002714039059355855,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_23,2021-01-23,34.01029,-118.0685,0.013110285624861717,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_24,2021-01-24,34.01029,-118.0685,0.29606473445892334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_25,2021-01-25,34.01029,-118.0685,0.28288373351097107,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_26,2021-01-26,34.01029,-118.0685,0.27716025710105896,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_27,2021-01-27,34.01029,-118.0685,0.07272090762853622,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_28,2021-01-28,34.01029,-118.0685,0.27348244190216064,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_29,2021-01-29,34.01029,-118.0685,-0.005811700597405434,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_30,2021-01-30,34.01029,-118.0685,0.2771157920360565,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_31,2021-01-31,34.01029,-118.0685,0.0739670991897583,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_01,2021-02-01,34.01029,-118.0685,-0.0029006972908973694,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_02,2021-02-02,34.01029,-118.0685,0.2693389654159546,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_03,2021-02-03,34.01029,-118.0685,0.1156775951385498,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_04,2021-02-04,34.01029,-118.0685,0.19408589601516724,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_05,2021-02-05,34.01029,-118.0685,0.33481812477111816,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_06,2021-02-06,34.01029,-118.0685,0.2675159275531769,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_07,2021-02-07,34.01029,-118.0685,0.30180805921554565,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_08,2021-02-08,34.01029,-118.0685,0.09662921726703644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_09,2021-02-09,34.01029,-118.0685,0.010597911663353443,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_10,2021-02-10,34.01029,-118.0685,0.027559660375118256,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_11,2021-02-11,34.01029,-118.0685,0.15453501045703888,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_12,2021-02-12,34.01029,-118.0685,0.3504023253917694,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_13,2021-02-13,34.01029,-118.0685,0.036384064704179764,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_14,2021-02-14,34.01029,-118.0685,0.30139103531837463,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_15,2021-02-15,34.01029,-118.0685,0.08884859830141068,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_16,2021-02-16,34.01029,-118.0685,0.22719913721084595,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_17,2021-02-17,34.01029,-118.0685,0.30792897939682007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_18,2021-02-18,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_19,2021-02-19,34.01029,-118.0685,0.31317204236984253,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_20,2021-02-20,34.01029,-118.0685,0.312240332365036,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_21,2021-02-21,34.01029,-118.0685,0.35582610964775085,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_22,2021-02-22,34.01029,-118.0685,0.28976157307624817,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_23,2021-02-23,34.01029,-118.0685,0.3230445384979248,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_24,2021-02-24,34.01029,-118.0685,0.3083832263946533,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_25,2021-02-25,34.01029,-118.0685,0.2819703221321106,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_26,2021-02-26,34.01029,-118.0685,0.30082061886787415,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_27,2021-02-27,34.01029,-118.0685,0.3056628108024597,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_28,2021-02-28,34.01029,-118.0685,0.2926112711429596,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_01,2021-03-01,34.01029,-118.0685,0.2943241596221924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_02,2021-03-02,34.01029,-118.0685,0.34237995743751526,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_03,2021-03-03,34.01029,-118.0685,-0.004692082293331623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_04,2021-03-04,34.01029,-118.0685,0.3239533305168152,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_05,2021-03-05,34.01029,-118.0685,0.30623820424079895,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_06,2021-03-06,34.01029,-118.0685,0.29785895347595215,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_07,2021-03-07,34.01029,-118.0685,0.024548402056097984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_08,2021-03-08,34.01029,-118.0685,0.07241043448448181,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_09,2021-03-09,34.01029,-118.0685,0.18102189898490906,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_10,2021-03-10,34.01029,-118.0685,0.11734455078840256,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_11,2021-03-11,34.01029,-118.0685,0.015940114855766296,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_12,2021-03-12,34.01029,-118.0685,0.345186710357666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_13,2021-03-13,34.01029,-118.0685,0.3294573724269867,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_14,2021-03-14,34.01029,-118.0685,0.0401984266936779,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_15,2021-03-15,34.01029,-118.0685,0.023446785286068916,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_16,2021-03-16,34.01029,-118.0685,0.3718436658382416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_17,2021-03-17,34.01029,-118.0685,0.2991499900817871,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_18,2021-03-18,34.01029,-118.0685,0.3339960277080536,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_19,2021-03-19,34.01029,-118.0685,0.29640570282936096,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_20,2021-03-20,34.01029,-118.0685,0.06967683136463165,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_21,2021-03-21,34.01029,-118.0685,0.3118230998516083,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_22,2021-03-22,34.01029,-118.0685,0.31013429164886475,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_23,2021-03-23,34.01029,-118.0685,0.34324994683265686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_24,2021-03-24,34.01029,-118.0685,0.29805490374565125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_25,2021-03-25,34.01029,-118.0685,0.3145042657852173,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_26,2021-03-26,34.01029,-118.0685,0.3037441074848175,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_27,2021-03-27,34.01029,-118.0685,0.33924466371536255,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_28,2021-03-28,34.01029,-118.0685,0.31424480676651,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_29,2021-03-29,34.01029,-118.0685,0.3070577383041382,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_30,2021-03-30,34.01029,-118.0685,0.2984558641910553,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_31,2021-03-31,34.01029,-118.0685,0.29658791422843933,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_01,2021-04-01,34.01029,-118.0685,0.23721209168434143,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_02,2021-04-02,34.01029,-118.0685,0.30291110277175903,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_03,2021-04-03,34.01029,-118.0685,0.2813141644001007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_04,2021-04-04,34.01029,-118.0685,0.28792986273765564,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_05,2021-04-05,34.01029,-118.0685,0.314797043800354,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_06,2021-04-06,34.01029,-118.0685,0.3034650385379791,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_07,2021-04-07,34.01029,-118.0685,0.32826748490333557,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_08,2021-04-08,34.01029,-118.0685,0.3005264401435852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_09,2021-04-09,34.01029,-118.0685,0.30875831842422485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_10,2021-04-10,34.01029,-118.0685,0.303329199552536,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_11,2021-04-11,34.01029,-118.0685,0.07489962875843048,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_12,2021-04-12,34.01029,-118.0685,0.050590045750141144,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_13,2021-04-13,34.01029,-118.0685,0.010931399650871754,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_14,2021-04-14,34.01029,-118.0685,0.32333245873451233,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_15,2021-04-15,34.01029,-118.0685,0.31947579979896545,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_16,2021-04-16,34.01029,-118.0685,0.27302905917167664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_17,2021-04-17,34.01029,-118.0685,0.33393123745918274,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_18,2021-04-18,34.01029,-118.0685,0.2964003086090088,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_19,2021-04-19,34.01029,-118.0685,0.31103014945983887,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_20,2021-04-20,34.01029,-118.0685,0.2712291181087494,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_21,2021-04-21,34.01029,-118.0685,0.014602944254875183,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_22,2021-04-22,34.01029,-118.0685,0.020661937072873116,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_23,2021-04-23,34.01029,-118.0685,0.021969644352793694,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_24,2021-04-24,34.01029,-118.0685,0.029101518914103508,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_25,2021-04-25,34.01029,-118.0685,0.11957985162734985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_26,2021-04-26,34.01029,-118.0685,0.034605540335178375,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_27,2021-04-27,34.01029,-118.0685,0.13837973773479462,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_28,2021-04-28,34.01029,-118.0685,0.3063241243362427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_29,2021-04-29,34.01029,-118.0685,0.28250059485435486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_30,2021-04-30,34.01029,-118.0685,0.26162099838256836,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_01,2021-05-01,34.01029,-118.0685,0.14943760633468628,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_02,2021-05-02,34.01029,-118.0685,0.22872844338417053,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_03,2021-05-03,34.01029,-118.0685,0.30994153022766113,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_04,2021-05-04,34.01029,-118.0685,0.2643948197364807,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_05,2021-05-05,34.01029,-118.0685,0.29105180501937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_06,2021-05-06,34.01029,-118.0685,0.25033891201019287,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_07,2021-05-07,34.01029,-118.0685,0.28314539790153503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_08,2021-05-08,34.01029,-118.0685,0.07205286622047424,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_09,2021-05-09,34.01029,-118.0685,0.021897809579968452,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_10,2021-05-10,34.01029,-118.0685,0.014158299192786217,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_11,2021-05-11,34.01029,-118.0685,0.0946454405784607,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_12,2021-05-12,34.01029,-118.0685,0.26959848403930664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_13,2021-05-13,34.01029,-118.0685,0.036194704473018646,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_14,2021-05-14,34.01029,-118.0685,0.28450173139572144,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_15,2021-05-15,34.01029,-118.0685,0.027872469276189804,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_16,2021-05-16,34.01029,-118.0685,0.01904424838721752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_17,2021-05-17,34.01029,-118.0685,0.01267951913177967,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_18,2021-05-18,34.01029,-118.0685,0.2686135172843933,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_19,2021-05-19,34.01029,-118.0685,0.30279260873794556,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_20,2021-05-20,34.01029,-118.0685,0.10558392107486725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_21,2021-05-21,34.01029,-118.0685,0.29036256670951843,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_22,2021-05-22,34.01029,-118.0685,0.294730007648468,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_23,2021-05-23,34.01029,-118.0685,0.2754601240158081,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_24,2021-05-24,34.01029,-118.0685,0.300471693277359,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_25,2021-05-25,34.01029,-118.0685,0.2795637249946594,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_26,2021-05-26,34.01029,-118.0685,0.2978266179561615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_27,2021-05-27,34.01029,-118.0685,0.24446538090705872,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_28,2021-05-28,34.01029,-118.0685,0.30239999294281006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_29,2021-05-29,34.01029,-118.0685,0.030662965029478073,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_30,2021-05-30,34.01029,-118.0685,0.18852660059928894,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_31,2021-05-31,34.01029,-118.0685,0.2827974557876587,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_01,2021-06-01,34.01029,-118.0685,0.273690402507782,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_02,2021-06-02,34.01029,-118.0685,0.26286250352859497,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_03,2021-06-03,34.01029,-118.0685,0.2565499246120453,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_04,2021-06-04,34.01029,-118.0685,0.31086140871047974,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_05,2021-06-05,34.01029,-118.0685,0.24298281967639923,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_06,2021-06-06,34.01029,-118.0685,0.2806788682937622,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_07,2021-06-07,34.01029,-118.0685,0.012411347590386868,"{""type"":""MultiPoint"",""coordinates"":[]}"
