system:index,date,lat,long,ndvi,.geo
2021_01_01,2021-01-01,34.05111,-118.45636,0.16564811766147614,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_02,2021-01-02,34.05111,-118.45636,0.21480825543403625,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_03,2021-01-03,34.05111,-118.45636,0.1446692794561386,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_04,2021-01-04,34.05111,-118.45636,0.1661512404680252,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_05,2021-01-05,34.05111,-118.45636,0.07225806266069412,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_06,2021-01-06,34.05111,-118.45636,0.1767268180847168,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_07,2021-01-07,34.05111,-118.45636,0.13344739377498627,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_08,2021-01-08,34.05111,-118.45636,0.14898911118507385,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,2021-01-09,34.05111,-118.45636,0.18310463428497314,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_10,2021-01-10,34.05111,-118.45636,0.08907774835824966,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_11,2021-01-11,34.05111,-118.45636,0.2548905313014984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_12,2021-01-12,34.05111,-118.45636,0.14667394757270813,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_13,2021-01-13,34.05111,-118.45636,0.0668993592262268,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_14,2021-01-14,34.05111,-118.45636,0.16263335943222046,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_15,2021-01-15,34.05111,-118.45636,0.15782907605171204,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_16,2021-01-16,34.05111,-118.45636,0.17192040383815765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,2021-01-17,34.05111,-118.45636,0.16223232448101044,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_18,2021-01-18,34.05111,-118.45636,0.216684490442276,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_19,2021-01-19,34.05111,-118.45636,0.15323682129383087,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_20,2021-01-20,34.05111,-118.45636,0.2232292741537094,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_21,2021-01-21,34.05111,-118.45636,0.15137998759746552,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_22,2021-01-22,34.05111,-118.45636,0.1258758157491684,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_23,2021-01-23,34.05111,-118.45636,0.005311934743076563,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_24,2021-01-24,34.05111,-118.45636,0.18450427055358887,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_25,2021-01-25,34.05111,-118.45636,0.059489522129297256,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_26,2021-01-26,34.05111,-118.45636,0.14704982936382294,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_27,2021-01-27,34.05111,-118.45636,0.010444178245961666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_28,2021-01-28,34.05111,-118.45636,0.15495911240577698,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_29,2021-01-29,34.05111,-118.45636,0.017435356974601746,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_30,2021-01-30,34.05111,-118.45636,0.15778741240501404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_31,2021-01-31,34.05111,-118.45636,0.08210916817188263,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_01,2021-02-01,34.05111,-118.45636,0.0017838029889389873,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_02,2021-02-02,34.05111,-118.45636,0.15489542484283447,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_03,2021-02-03,34.05111,-118.45636,0.2213985174894333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_04,2021-02-04,34.05111,-118.45636,0.16974389553070068,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_05,2021-02-05,34.05111,-118.45636,0.22080537676811218,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_06,2021-02-06,34.05111,-118.45636,0.15772788226604462,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_07,2021-02-07,34.05111,-118.45636,0.1732332706451416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_08,2021-02-08,34.05111,-118.45636,0.14963743090629578,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_09,2021-02-09,34.05111,-118.45636,0.011786974035203457,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_10,2021-02-10,34.05111,-118.45636,0.026776205748319626,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_11,2021-02-11,34.05111,-118.45636,0.11994727700948715,"{""type"":""MultiPoint"",""coordinates"":[]}"
