,date,lat,long,Parameter Name,mean_ozone
0,2021-01-01,33.901389,-118.205,Ozone,0.0
28,2021-01-02,33.901389,-118.205,Ozone,0.0085
44,2021-01-03,33.901389,-118.205,Ozone,0.009125
61,2021-01-04,33.901389,-118.205,Ozone,0.011917
79,2021-01-05,33.901389,-118.205,Ozone,0.006529
96,2021-01-06,33.901389,-118.205,Ozone,0.006
124,2021-01-07,33.901389,-118.205,Ozone,0.002875
152,2021-01-08,33.901389,-118.205,Ozone,0.00375
180,2021-01-09,33.901389,-118.205,Ozone,0.009706
210,2021-01-10,33.901389,-118.205,Ozone,0.0105
238,2021-01-11,33.901389,-118.205,Ozone,0.007417
266,2021-01-12,33.901389,-118.205,Ozone,0.006667
294,2021-01-13,33.901389,-118.205,Ozone,0.005261
322,2021-01-14,33.901389,-118.205,Ozone,0.005
405,2021-01-17,33.901389,-118.205,Ozone,0.0
431,2021-01-18,33.901389,-118.205,Ozone,0.0125
459,2021-01-19,33.901389,-118.205,Ozone,0.020417
487,2021-01-20,33.901389,-118.205,Ozone,0.012588
515,2021-01-21,33.901389,-118.205,Ozone,0.0095
543,2021-01-22,33.901389,-118.205,Ozone,0.017083
573,2021-01-23,33.901389,-118.205,Ozone,0.014583
601,2021-01-24,33.901389,-118.205,Ozone,0.014542
629,2021-01-25,33.901389,-118.205,Ozone,0.020708
657,2021-01-26,33.901389,-118.205,Ozone,0.010905
685,2021-01-27,33.901389,-118.205,Ozone,0.01745
715,2021-01-28,33.901389,-118.205,Ozone,0.017583
745,2021-01-29,33.901389,-118.205,Ozone,0.015958
773,2021-01-30,33.901389,-118.205,Ozone,0.011542
801,2021-01-31,33.901389,-118.205,Ozone,0.01225
829,2021-02-01,33.901389,-118.205,Ozone,0.010375
857,2021-02-02,33.901389,-118.205,Ozone,0.016125
885,2021-02-03,33.901389,-118.205,Ozone,0.010375
915,2021-02-04,33.901389,-118.205,Ozone,0.013706
944,2021-02-05,33.901389,-118.205,Ozone,0.015059
961,2021-02-06,33.901389,-118.205,Ozone,0.012471
978,2021-02-07,33.901389,-118.205,Ozone,0.019208
995,2021-02-08,33.901389,-118.205,Ozone,0.029583
1009,2021-02-09,33.901389,-118.205,Ozone,0.026375
1028,2021-02-10,33.901389,-118.205,Ozone,0.016708
1045,2021-02-11,33.901389,-118.205,Ozone,0.016792
1063,2021-02-12,33.901389,-118.205,Ozone,0.020583
1092,2021-02-13,33.901389,-118.205,Ozone,0.018208
1120,2021-02-14,33.901389,-118.205,Ozone,0.030708
1148,2021-02-15,33.901389,-118.205,Ozone,0.011458
1181,2021-02-16,33.901389,-118.205,Ozone,0.021421
1194,2021-02-17,33.901389,-118.205,Ozone,0.003222
1223,2021-02-18,33.901389,-118.205,Ozone,0.020706
1237,2021-02-19,33.901389,-118.205,Ozone,0.014417
1265,2021-02-20,33.901389,-118.205,Ozone,0.016625
1293,2021-02-21,33.901389,-118.205,Ozone,0.019471
1323,2021-02-22,33.901389,-118.205,Ozone,0.0145
1351,2021-02-23,33.901389,-118.205,Ozone,0.012583
1379,2021-02-24,33.901389,-118.205,Ozone,0.017917
1407,2021-02-25,33.901389,-118.205,Ozone,0.020292
1435,2021-02-26,33.901389,-118.205,Ozone,0.013625
1465,2021-02-27,33.901389,-118.205,Ozone,0.017
1495,2021-02-28,33.901389,-118.205,Ozone,0.019917
1521,2021-03-01,33.901389,-118.205,Ozone,0.01725
1549,2021-03-02,33.901389,-118.205,Ozone,0.017583
1577,2021-03-03,33.901389,-118.205,Ozone,0.0145
1605,2021-03-04,33.901389,-118.205,Ozone,0.017333
1633,2021-03-05,33.901389,-118.205,Ozone,0.0195
1663,2021-03-06,33.901389,-118.205,Ozone,0.018958
1691,2021-03-07,33.901389,-118.205,Ozone,0.020833
1719,2021-03-08,33.901389,-118.205,Ozone,0.024625
1749,2021-03-09,33.901389,-118.205,Ozone,0.02075
1777,2021-03-10,33.901389,-118.205,Ozone,0.027875
1803,2021-03-11,33.901389,-118.205,Ozone,0.020286
1833,2021-03-12,33.901389,-118.205,Ozone,0.015708
1861,2021-03-13,33.901389,-118.205,Ozone,0.016417
1889,2021-03-14,33.901389,-118.205,Ozone,0.027333
1917,2021-03-15,33.901389,-118.205,Ozone,0.027042
1945,2021-03-16,33.901389,-118.205,Ozone,0.021167
1973,2021-03-17,33.901389,-118.205,Ozone,0.01925
2003,2021-03-18,33.901389,-118.205,Ozone,0.020125
2033,2021-03-19,33.901389,-118.205,Ozone,0.016292
2061,2021-03-20,33.901389,-118.205,Ozone,0.025708
2090,2021-03-21,33.901389,-118.205,Ozone,0.020375
2138,2021-03-22,33.901389,-118.205,Ozone,0.024176
2143,2021-03-23,33.901389,-118.205,Ozone,0.024
2173,2021-03-24,33.901389,-118.205,Ozone,0.022417
2202,2021-03-25,33.901389,-118.205,Ozone,0.026882
2255,2021-03-26,33.901389,-118.205,Ozone,0.022125
2267,2021-03-27,33.901389,-118.205,Ozone,0.019667
2295,2021-03-28,33.901389,-118.205,Ozone,0.02275
2323,2021-03-29,33.901389,-118.205,Ozone,0.020417
2353,2021-03-30,33.901389,-118.205,Ozone,0.028625
2371,2021-03-31,33.901389,-118.205,Ozone,0.019917
2399,2021-04-01,33.901389,-118.205,Ozone,0.0235
2427,2021-04-02,33.901389,-118.205,Ozone,0.028958
2455,2021-04-03,33.901389,-118.205,Ozone,0.03275
2483,2021-04-04,33.901389,-118.205,Ozone,0.023292
2513,2021-04-05,33.901389,-118.205,Ozone,0.021625
2541,2021-04-06,33.901389,-118.205,Ozone,0.023292
2569,2021-04-07,33.901389,-118.205,Ozone,0.022167
2599,2021-04-08,33.901389,-118.205,Ozone,0.021625
2626,2021-04-09,33.901389,-118.205,Ozone,0.023667
2652,2021-04-10,33.901389,-118.205,Ozone,0.021833
2679,2021-04-11,33.901389,-118.205,Ozone,0.033292
2705,2021-04-12,33.901389,-118.205,Ozone,0.036333
2731,2021-04-13,33.901389,-118.205,Ozone,0.03335
2758,2021-04-14,33.901389,-118.205,Ozone,0.03119
2786,2021-04-15,33.901389,-118.205,Ozone,0.029263
2814,2021-04-16,33.901389,-118.205,Ozone,0.036625
2844,2021-04-17,33.901389,-118.205,Ozone,0.036417
2873,2021-04-18,33.901389,-118.205,Ozone,0.042647
2925,2021-04-19,33.901389,-118.205,Ozone,0.041824
2931,2021-04-20,33.901389,-118.205,Ozone,0.039833
2948,2021-04-21,33.901389,-118.205,Ozone,0.041591
2969,2021-04-22,33.901389,-118.205,Ozone,0.042375
2997,2021-04-23,33.901389,-118.205,Ozone,0.039333
3020,2021-04-24,33.901389,-118.205,Ozone,0.038824
3048,2021-04-25,33.901389,-118.205,Ozone,0.039292
3081,2021-04-26,33.901389,-118.205,Ozone,0.040583
3135,2021-04-28,33.901389,-118.205,Ozone,0.0115
3164,2021-04-29,33.901389,-118.205,Ozone,0.0328
3187,2021-04-30,33.901389,-118.205,Ozone,0.029818
3215,2021-05-01,33.901389,-118.205,Ozone,0.034941
3243,2021-05-02,33.901389,-118.205,Ozone,0.033647
3271,2021-05-03,33.901389,-118.205,Ozone,0.034875
3299,2021-05-04,33.901389,-118.205,Ozone,0.040125
3329,2021-05-05,33.901389,-118.205,Ozone,0.033667
3357,2021-05-06,33.901389,-118.205,Ozone,0.036542
3385,2021-05-07,33.901389,-118.205,Ozone,0.039458
3415,2021-05-08,33.901389,-118.205,Ozone,0.043583
3443,2021-05-09,33.901389,-118.205,Ozone,0.044875
3469,2021-05-10,33.901389,-118.205,Ozone,0.04275
3499,2021-05-11,33.901389,-118.205,Ozone,0.035056
3527,2021-05-12,33.901389,-118.205,Ozone,0.042625
3555,2021-05-13,33.901389,-118.205,Ozone,0.044917
3583,2021-05-14,33.901389,-118.205,Ozone,0.044875
3611,2021-05-15,33.901389,-118.205,Ozone,0.042875
3639,2021-05-16,33.901389,-118.205,Ozone,0.042125
3669,2021-05-17,33.901389,-118.205,Ozone,0.040792
3699,2021-05-18,33.901389,-118.205,Ozone,0.034652
3727,2021-05-19,33.901389,-118.205,Ozone,0.038773
3757,2021-05-20,33.901389,-118.205,Ozone,0.034389
3786,2021-05-21,33.901389,-118.205,Ozone,0.032292
3814,2021-05-22,33.901389,-118.205,Ozone,0.034
3844,2021-05-23,33.901389,-118.205,Ozone,0.029708
3872,2021-05-24,33.901389,-118.205,Ozone,0.029042
3899,2021-05-25,33.901389,-118.205,Ozone,0.030708
3949,2021-05-26,33.901389,-118.205,Ozone,0.032083
3955,2021-05-27,33.901389,-118.205,Ozone,0.040042
4003,2021-05-28,33.901389,-118.205,Ozone,0.037
4024,2021-05-29,33.901389,-118.205,Ozone,0.035917
4037,2021-05-30,33.901389,-118.205,Ozone,0.036542
4065,2021-05-31,33.901389,-118.205,Ozone,0.040083
4093,2021-06-01,33.901389,-118.205,Ozone,0.035833
4121,2021-06-02,33.901389,-118.205,Ozone,0.036375
4149,2021-06-03,33.901389,-118.205,Ozone,0.036375
4179,2021-06-04,33.901389,-118.205,Ozone,0.028833
4207,2021-06-05,33.901389,-118.205,Ozone,0.034458
4235,2021-06-06,33.901389,-118.205,Ozone,0.035167
4265,2021-06-07,33.901389,-118.205,Ozone,0.034833
4293,2021-06-08,33.901389,-118.205,Ozone,0.040125
4319,2021-06-09,33.901389,-118.205,Ozone,0.032708
4349,2021-06-10,33.901389,-118.205,Ozone,0.029542
4377,2021-06-11,33.901389,-118.205,Ozone,0.030917
4405,2021-06-12,33.901389,-118.205,Ozone,0.034667
4433,2021-06-13,33.901389,-118.205,Ozone,0.032833
4461,2021-06-14,33.901389,-118.205,Ozone,0.021917
4490,2021-06-15,33.901389,-118.205,Ozone,0.028667
4520,2021-06-16,33.901389,-118.205,Ozone,0.027375
4547,2021-06-17,33.901389,-118.205,Ozone,0.019542
4577,2021-06-18,33.901389,-118.205,Ozone,0.021708
4603,2021-06-19,33.901389,-118.205,Ozone,0.030667
4631,2021-06-20,33.901389,-118.205,Ozone,0.03225
4659,2021-06-21,33.901389,-118.205,Ozone,0.034364
4689,2021-06-22,33.901389,-118.205,Ozone,0.0175
4717,2021-06-23,33.901389,-118.205,Ozone,0.020625
4745,2021-06-24,33.901389,-118.205,Ozone,0.022958
4773,2021-06-25,33.901389,-118.205,Ozone,0.02175
4801,2021-06-26,33.901389,-118.205,Ozone,0.029958
4831,2021-06-27,33.901389,-118.205,Ozone,0.030875
4861,2021-06-28,33.901389,-118.205,Ozone,0.037235
4889,2021-06-29,33.901389,-118.205,Ozone,0.027176
4915,2021-06-30,33.901389,-118.205,Ozone,0.028706
4943,2021-07-01,33.901389,-118.205,Ozone,0.032667
4971,2021-07-02,33.901389,-118.205,Ozone,0.030583
4999,2021-07-03,33.901389,-118.205,Ozone,0.026583
5028,2021-07-04,33.901389,-118.205,Ozone,0.032375
5056,2021-07-05,33.901389,-118.205,Ozone,0.030625
5084,2021-07-06,33.901389,-118.205,Ozone,0.030083
5112,2021-07-07,33.901389,-118.205,Ozone,0.030667
5142,2021-07-08,33.901389,-118.205,Ozone,0.023882
5168,2021-07-09,33.901389,-118.205,Ozone,0.029882
5198,2021-07-10,33.901389,-118.205,Ozone,0.031294
5226,2021-07-11,33.901389,-118.205,Ozone,0.031833
5254,2021-07-12,33.901389,-118.205,Ozone,0.029917
5282,2021-07-13,33.901389,-118.205,Ozone,0.032333
5310,2021-07-14,33.901389,-118.205,Ozone,0.028917
5338,2021-07-15,33.901389,-118.205,Ozone,0.03075
5368,2021-07-16,33.901389,-118.205,Ozone,0.031708
5398,2021-07-17,33.901389,-118.205,Ozone,0.031625
5426,2021-07-18,33.901389,-118.205,Ozone,0.032708
5452,2021-07-19,33.901389,-118.205,Ozone,0.031083
5480,2021-07-20,33.901389,-118.205,Ozone,0.028792
5510,2021-07-21,33.901389,-118.205,Ozone,0.025375
5538,2021-07-22,33.901389,-118.205,Ozone,0.02475
5566,2021-07-23,33.901389,-118.205,Ozone,0.033118
5594,2021-07-24,33.901389,-118.205,Ozone,0.036941
5622,2021-07-25,33.901389,-118.205,Ozone,0.033647
5650,2021-07-26,33.901389,-118.205,Ozone,0.023625
5682,2021-07-27,33.901389,-118.205,Ozone,0.030125
5710,2021-07-28,33.901389,-118.205,Ozone,0.032042
5736,2021-07-29,33.901389,-118.205,Ozone,0.02625
5764,2021-07-30,33.901389,-118.205,Ozone,0.027875
5792,2021-07-31,33.901389,-118.205,Ozone,0.02925
5820,2021-08-01,33.901389,-118.205,Ozone,0.032708
5850,2021-08-02,33.901389,-118.205,Ozone,0.033118
5878,2021-08-03,33.901389,-118.205,Ozone,0.033941
5906,2021-08-04,33.901389,-118.205,Ozone,0.031941
5934,2021-08-05,33.901389,-118.205,Ozone,0.029917
5964,2021-08-06,33.901389,-118.205,Ozone,0.036333
5992,2021-08-07,33.901389,-118.205,Ozone,0.039042
6020,2021-08-08,33.901389,-118.205,Ozone,0.040167
