,date,lat,long,Parameter Name,mean_ozone
106,2021-01-01,34.06659,-118.22688,Ozone,0.013333
130,2021-01-02,34.06659,-118.22688,Ozone,0.013167
170,2021-01-03,34.06659,-118.22688,Ozone,0.01425
459,2021-01-04,34.06659,-118.22688,Ozone,0.010167
560,2021-01-05,34.06659,-118.22688,Ozone,0.007958
600,2021-01-06,34.06659,-118.22688,Ozone,0.008208
736,2021-01-07,34.06659,-118.22688,Ozone,0.006917
755,2021-01-08,34.06659,-118.22688,Ozone,0.007125
795,2021-01-09,34.06659,-118.22688,Ozone,0.010583
875,2021-01-10,34.06659,-118.22688,Ozone,0.016708
1185,2021-01-11,34.06659,-118.22688,Ozone,0.013529
1225,2021-01-12,34.06659,-118.22688,Ozone,0.009824
1307,2021-01-13,34.06659,-118.22688,Ozone,0.003727
1377,2021-01-14,34.06659,-118.22688,Ozone,0.008941
1413,2021-01-15,34.06659,-118.22688,Ozone,0.010458
1501,2021-01-16,34.06659,-118.22688,Ozone,0.014647
1802,2021-01-17,34.06659,-118.22688,Ozone,0.017125
1838,2021-01-18,34.06659,-118.22688,Ozone,0.018417
1960,2021-01-19,34.06659,-118.22688,Ozone,0.028667
1987,2021-01-20,34.06659,-118.22688,Ozone,0.013917
2023,2021-01-21,34.06659,-118.22688,Ozone,0.014708
2191,2021-01-22,34.06659,-118.22688,Ozone,0.022625
2404,2021-01-23,34.06659,-118.22688,Ozone,0.019875
2440,2021-01-24,34.06659,-118.22688,Ozone,0.033529
2562,2021-01-25,34.06659,-118.22688,Ozone,0.030875
2589,2021-01-26,34.06659,-118.22688,Ozone,0.023792
2625,2021-01-27,34.06659,-118.22688,Ozone,0.0205
2796,2021-01-28,34.06659,-118.22688,Ozone,0.022
3010,2021-01-29,34.06659,-118.22688,Ozone,0.024478
3048,2021-01-30,34.06659,-118.22688,Ozone,0.016958
3186,2021-01-31,34.06659,-118.22688,Ozone,0.017
3201,2021-02-01,34.06659,-118.22688,Ozone,0.011375
3239,2021-02-02,34.06659,-118.22688,Ozone,0.013542
3548,2021-02-03,34.06659,-118.22688,Ozone,0.015857
3624,2021-02-04,34.06659,-118.22688,Ozone,0.017118
3663,2021-02-05,34.06659,-118.22688,Ozone,0.018647
3791,2021-02-06,34.06659,-118.22688,Ozone,0.015375
3817,2021-02-07,34.06659,-118.22688,Ozone,0.018375
3855,2021-02-08,34.06659,-118.22688,Ozone,0.029208
3932,2021-02-09,34.06659,-118.22688,Ozone,0.037083
4244,2021-02-10,34.06659,-118.22688,Ozone,0.0235
4284,2021-02-11,34.06659,-118.22688,Ozone,0.022875
4366,2021-02-12,34.06659,-118.22688,Ozone,0.023583
4438,2021-02-13,34.06659,-118.22688,Ozone,0.027
4476,2021-02-14,34.06659,-118.22688,Ozone,0.041875
4517,2021-02-15,34.06659,-118.22688,Ozone,0.019917
4846,2021-02-16,34.06659,-118.22688,Ozone,0.030292
4886,2021-02-17,34.06659,-118.22688,Ozone,0.026333
5014,2021-02-18,34.06659,-118.22688,Ozone,0.020625
5040,2021-02-19,34.06659,-118.22688,Ozone,0.017875
5078,2021-02-20,34.06659,-118.22688,Ozone,0.024417
5251,2021-02-21,34.06659,-118.22688,Ozone,0.022167
5464,2021-02-22,34.06659,-118.22688,Ozone,0.018583
5502,2021-02-23,34.06659,-118.22688,Ozone,0.01875
5628,2021-02-24,34.06659,-118.22688,Ozone,0.021208
5655,2021-02-25,34.06659,-118.22688,Ozone,0.022235
5693,2021-02-26,34.06659,-118.22688,Ozone,0.018792
5966,2021-02-27,34.06659,-118.22688,Ozone,0.025833
6079,2021-02-28,34.06659,-118.22688,Ozone,0.024667
6117,2021-03-01,34.06659,-118.22688,Ozone,0.022083
6255,2021-03-02,34.06659,-118.22688,Ozone,0.023708
6270,2021-03-03,34.06659,-118.22688,Ozone,0.021375
6308,2021-03-04,34.06659,-118.22688,Ozone,0.023583
6618,2021-03-05,34.06659,-118.22688,Ozone,0.023708
6694,2021-03-06,34.06659,-118.22688,Ozone,0.025208
6731,2021-03-07,34.06659,-118.22688,Ozone,0.036118
6861,2021-03-08,34.06659,-118.22688,Ozone,0.037042
6888,2021-03-09,34.06659,-118.22688,Ozone,0.029333
6928,2021-03-10,34.06659,-118.22688,Ozone,0.040125
7268,2021-03-11,34.06659,-118.22688,Ozone,0.035583
7306,2021-03-12,34.06659,-118.22688,Ozone,0.027765
7344,2021-03-13,34.06659,-118.22688,Ozone,0.034471
7433,2021-03-14,34.06659,-118.22688,Ozone,0.041882
7499,2021-03-15,34.06659,-118.22688,Ozone,0.038588
7537,2021-03-16,34.06659,-118.22688,Ozone,0.029458
7852,2021-03-17,34.06659,-118.22688,Ozone,0.023917
7930,2021-03-18,34.06659,-118.22688,Ozone,0.024042
7970,2021-03-19,34.06659,-118.22688,Ozone,0.020292
7998,2021-03-20,34.06659,-118.22688,Ozone,0.031125
8124,2021-03-21,34.06659,-118.22688,Ozone,0.032083
8162,2021-03-22,34.06659,-118.22688,Ozone,0.031917
8331,2021-03-23,34.06659,-118.22688,Ozone,0.03375
8546,2021-03-24,34.06659,-118.22688,Ozone,0.040083
8586,2021-03-25,34.06659,-118.22688,Ozone,0.03725
8663,2021-03-26,34.06659,-118.22688,Ozone,0.031125
8743,2021-03-27,34.06659,-118.22688,Ozone,0.025583
8783,2021-03-28,34.06659,-118.22688,Ozone,0.032208
8939,2021-03-29,34.06659,-118.22688,Ozone,0.036765
9090,2021-03-30,34.06659,-118.22688,Ozone,0.032294
9130,2021-03-31,34.06659,-118.22688,Ozone,0.033882
9270,2021-04-01,34.06659,-118.22688,Ozone,0.030167
9287,2021-04-02,34.06659,-118.22688,Ozone,0.034208
9327,2021-04-03,34.06659,-118.22688,Ozone,0.036176
9637,2021-04-04,34.06659,-118.22688,Ozone,0.038882
9738,2021-04-05,34.06659,-118.22688,Ozone,0.027167
9778,2021-04-06,34.06659,-118.22688,Ozone,0.033
9831,2021-04-07,34.06659,-118.22688,Ozone,0.026476
9965,2021-04-08,34.06659,-118.22688,Ozone,0.026833
10005,2021-04-09,34.06659,-118.22688,Ozone,0.03
10153,2021-04-10,34.06659,-118.22688,Ozone,0.030625
10388,2021-04-11,34.06659,-118.22688,Ozone,0.041542
10425,2021-04-12,34.06659,-118.22688,Ozone,0.046542
10557,2021-04-13,34.06659,-118.22688,Ozone,0.042647
10581,2021-04-14,34.06659,-118.22688,Ozone,0.037706
10621,2021-04-15,34.06659,-118.22688,Ozone,0.034588
10689,2021-04-16,34.06659,-118.22688,Ozone,0.024688
10951,2021-04-17,34.06659,-118.22688,Ozone,0.030708
10988,2021-04-18,34.06659,-118.22688,Ozone,0.034167
11056,2021-04-19,34.06659,-118.22688,Ozone,0.032095
11252,2021-04-20,34.06659,-118.22688,Ozone,0.034833
11294,2021-04-21,34.06659,-118.22688,Ozone,0.039583
11593,2021-04-22,34.06659,-118.22688,Ozone,0.040833
11671,2021-04-23,34.06659,-118.22688,Ozone,0.039792
11713,2021-04-24,34.06659,-118.22688,Ozone,0.041958
11855,2021-04-25,34.06659,-118.22688,Ozone,0.038625
11873,2021-04-26,34.06659,-118.22688,Ozone,0.038833
11913,2021-04-27,34.06659,-118.22688,Ozone,0.036333
11994,2021-04-28,34.06659,-118.22688,Ozone,0.0245
12256,2021-04-29,34.06659,-118.22688,Ozone,0.027417
12298,2021-04-30,34.06659,-118.22688,Ozone,0.035375
12342,2021-05-01,34.06659,-118.22688,Ozone,0.03025
12544,2021-05-02,34.06659,-118.22688,Ozone,0.037583
12586,2021-05-03,34.06659,-118.22688,Ozone,0.031417
12877,2021-05-04,34.06659,-118.22688,Ozone,0.034
12968,2021-05-05,34.06659,-118.22688,Ozone,0.031909
13017,2021-05-06,34.06659,-118.22688,Ozone,0.03081
13109,2021-05-07,34.06659,-118.22688,Ozone,0.036167
13201,2021-05-08,34.06659,-118.22688,Ozone,0.042708
13243,2021-05-09,34.06659,-118.22688,Ozone,0.044458
13364,2021-05-10,34.06659,-118.22688,Ozone,0.040958
13664,2021-05-11,34.06659,-118.22688,Ozone,0.039958
13704,2021-05-12,34.06659,-118.22688,Ozone,0.041333
13848,2021-05-13,34.06659,-118.22688,Ozone,0.043833
13868,2021-05-14,34.06659,-118.22688,Ozone,0.04475
13910,2021-05-15,34.06659,-118.22688,Ozone,0.042917
14006,2021-05-16,34.06659,-118.22688,Ozone,0.041417
14311,2021-05-17,34.06659,-118.22688,Ozone,0.038417
14353,2021-05-18,34.06659,-118.22688,Ozone,0.0385
14492,2021-05-19,34.06659,-118.22688,Ozone,0.035792
14514,2021-05-20,34.06659,-118.22688,Ozone,0.039833
14556,2021-05-21,34.06659,-118.22688,Ozone,0.032333
14836,2021-05-22,34.06659,-118.22688,Ozone,0.037
14975,2021-05-23,34.06659,-118.22688,Ozone,0.031417
15019,2021-05-24,34.06659,-118.22688,Ozone,0.030333
15180,2021-05-25,34.06659,-118.22688,Ozone,0.030458
15204,2021-05-26,34.06659,-118.22688,Ozone,0.026
15246,2021-05-27,34.06659,-118.22688,Ozone,0.037042
15425,2021-05-28,34.06659,-118.22688,Ozone,0.035125
15642,2021-05-29,34.06659,-118.22688,Ozone,0.034167
15684,2021-05-30,34.06659,-118.22688,Ozone,0.038
15822,2021-05-31,34.06659,-118.22688,Ozone,0.039125
15844,2021-06-01,34.06659,-118.22688,Ozone,0.036458
15886,2021-06-02,34.06659,-118.22688,Ozone,0.035375
16160,2021-06-03,34.06659,-118.22688,Ozone,0.038125
16328,2021-06-04,34.06659,-118.22688,Ozone,0.029875
16370,2021-06-05,34.06659,-118.22688,Ozone,0.032375
16456,2021-06-06,34.06659,-118.22688,Ozone,0.035
16487,2021-06-07,34.06659,-118.22688,Ozone,0.031208
16530,2021-06-08,34.06659,-118.22688,Ozone,0.034
16617,2021-06-09,34.06659,-118.22688,Ozone,0.030412
16927,2021-06-10,34.06659,-118.22688,Ozone,0.026588
16969,2021-06-11,34.06659,-118.22688,Ozone,0.03075
17113,2021-06-12,34.06659,-118.22688,Ozone,0.034083
17133,2021-06-13,34.06659,-118.22688,Ozone,0.0325
17175,2021-06-14,34.06659,-118.22688,Ozone,0.022083
17493,2021-06-15,34.06659,-118.22688,Ozone,0.024083
17617,2021-06-16,34.06659,-118.22688,Ozone,0.026917
17659,2021-06-17,34.06659,-118.22688,Ozone,0.021208
17804,2021-06-18,34.06659,-118.22688,Ozone,0.024792
17843,2021-06-19,34.06659,-118.22688,Ozone,0.033583
17885,2021-06-20,34.06659,-118.22688,Ozone,0.03325
18158,2021-06-21,34.06659,-118.22688,Ozone,0.032417
18260,2021-06-22,34.06659,-118.22688,Ozone,0.024667
18302,2021-06-23,34.06659,-118.22688,Ozone,0.021292
18442,2021-06-24,34.06659,-118.22688,Ozone,0.0215
18466,2021-06-25,34.06659,-118.22688,Ozone,0.022042
18508,2021-06-26,34.06659,-118.22688,Ozone,0.026917
18758,2021-06-27,34.06659,-118.22688,Ozone,0.030167
18930,2021-06-28,34.06659,-118.22688,Ozone,0.034875
18991,2021-06-29,34.06659,-118.22688,Ozone,0.024625
19131,2021-06-30,34.06659,-118.22688,Ozone,0.028458
19155,2021-07-01,34.06659,-118.22688,Ozone,0.031375
19197,2021-07-02,34.06659,-118.22688,Ozone,0.02975
19451,2021-07-03,34.06659,-118.22688,Ozone,0.027708
19562,2021-07-04,34.06659,-118.22688,Ozone,0.030708
19604,2021-07-05,34.06659,-118.22688,Ozone,0.031958
19702,2021-07-06,34.06659,-118.22688,Ozone,0.0315
19737,2021-07-07,34.06659,-118.22688,Ozone,0.030625
19779,2021-07-08,34.06659,-118.22688,Ozone,0.029417
19899,2021-07-09,34.06659,-118.22688,Ozone,0.0291
20210,2021-07-10,34.06659,-118.22688,Ozone,0.026792
20252,2021-07-11,34.06659,-118.22688,Ozone,0.033458
20302,2021-07-12,34.06659,-118.22688,Ozone,0.031417
20436,2021-07-13,34.06659,-118.22688,Ozone,0.033708
20478,2021-07-14,34.06659,-118.22688,Ozone,0.033125
20740,2021-07-15,34.06659,-118.22688,Ozone,0.034762
21303,2021-07-21,34.06659,-118.22688,Ozone,0.037182
21532,2021-07-22,34.06659,-118.22688,Ozone,0.021958
21574,2021-07-23,34.06659,-118.22688,Ozone,0.027542
21652,2021-07-24,34.06659,-118.22688,Ozone,0.031917
21707,2021-07-25,34.06659,-118.22688,Ozone,0.034583
21749,2021-07-26,34.06659,-118.22688,Ozone,0.02425
21826,2021-07-27,34.06659,-118.22688,Ozone,0.032
22092,2021-07-28,34.06659,-118.22688,Ozone,0.026625
22131,2021-07-29,34.06659,-118.22688,Ozone,0.022042
22274,2021-07-30,34.06659,-118.22688,Ozone,0.026583
22289,2021-07-31,34.06659,-118.22688,Ozone,0.024958
22328,2021-08-01,34.06659,-118.22688,Ozone,0.025708
22638,2021-08-02,34.06659,-118.22688,Ozone,0.021917
22736,2021-08-03,34.06659,-118.22688,Ozone,0.0251
22780,2021-08-04,34.06659,-118.22688,Ozone,0.028667
22937,2021-08-05,34.06659,-118.22688,Ozone,0.027458
22952,2021-08-06,34.06659,-118.22688,Ozone,0.031333
22991,2021-08-07,34.06659,-118.22688,Ozone,0.036792
23065,2021-08-08,34.06659,-118.22688,Ozone,0.041042
23380,2021-08-09,34.06659,-118.22688,Ozone,0.029792
23419,2021-08-10,34.06659,-118.22688,Ozone,0.031917
23558,2021-08-11,34.06659,-118.22688,Ozone,0.028333
23577,2021-08-12,34.06659,-118.22688,Ozone,0.028059
23616,2021-08-13,34.06659,-118.22688,Ozone,0.023529
23926,2021-08-14,34.06659,-118.22688,Ozone,0.031588
24029,2021-08-15,34.06659,-118.22688,Ozone,0.030875
24070,2021-08-16,34.06659,-118.22688,Ozone,0.022708
24180,2021-08-17,34.06659,-118.22688,Ozone,0.023042
24246,2021-08-18,34.06659,-118.22688,Ozone,0.023353
24285,2021-08-19,34.06659,-118.22688,Ozone,0.02725
24449,2021-08-20,34.06659,-118.22688,Ozone,0.032458
24672,2021-08-21,34.06659,-118.22688,Ozone,0.03625
24711,2021-08-22,34.06659,-118.22688,Ozone,0.035958
24790,2021-08-23,34.06659,-118.22688,Ozone,0.031958
24869,2021-08-24,34.06659,-118.22688,Ozone,0.034708
24908,2021-08-25,34.06659,-118.22688,Ozone,0.032917
25126,2021-08-26,34.06659,-118.22688,Ozone,0.033833
25339,2021-08-27,34.06659,-118.22688,Ozone,0.030083
25377,2021-08-28,34.06659,-118.22688,Ozone,0.033375
25511,2021-08-29,34.06659,-118.22688,Ozone,0.037125
25536,2021-08-30,34.06659,-118.22688,Ozone,0.034583
