,date,lat,long,Parameter Name,mean_ozone
23,2021-01-01,34.01029,-118.0685,Ozone,0.012958
38,2021-01-02,34.01029,-118.0685,Ozone,0.011333
53,2021-01-03,34.01029,-118.0685,Ozone,0.012125
88,2021-01-04,34.01029,-118.0685,Ozone,0.0085
95,2021-01-05,34.01029,-118.0685,Ozone,0.006118
122,2021-01-06,34.01029,-118.0685,Ozone,0.003375
130,2021-01-07,34.01029,-118.0685,Ozone,0.005125
163,2021-01-08,34.01029,-118.0685,Ozone,0.004588
175,2021-01-09,34.01029,-118.0685,Ozone,0.012882
181,2021-01-10,34.01029,-118.0685,Ozone,0.015083
219,2021-01-11,34.01029,-118.0685,Ozone,0.009292
234,2021-01-12,34.01029,-118.0685,Ozone,0.009292
249,2021-01-13,34.01029,-118.0685,Ozone,0.006833
275,2021-01-14,34.01029,-118.0685,Ozone,0.006958
290,2021-01-15,34.01029,-118.0685,Ozone,0.009542
315,2021-01-16,34.01029,-118.0685,Ozone,0.012824
344,2021-01-17,34.01029,-118.0685,Ozone,0.015
357,2021-01-18,34.01029,-118.0685,Ozone,0.021333
387,2021-01-19,34.01029,-118.0685,Ozone,0.028235
399,2021-01-20,34.01029,-118.0685,Ozone,0.019824
414,2021-01-21,34.01029,-118.0685,Ozone,0.015824
429,2021-01-22,34.01029,-118.0685,Ozone,0.022353
467,2021-01-23,34.01029,-118.0685,Ozone,0.016941
494,2021-01-24,34.01029,-118.0685,Ozone,0.018167
497,2021-01-25,34.01029,-118.0685,Ozone,0.021941
523,2021-01-26,34.01029,-118.0685,Ozone,0.020059
538,2021-01-27,34.01029,-118.0685,Ozone,0.021529
553,2021-01-28,34.01029,-118.0685,Ozone,0.033294
591,2021-01-29,34.01029,-118.0685,Ozone,0.021417
617,2021-01-30,34.01029,-118.0685,Ozone,0.013292
621,2021-01-31,34.01029,-118.0685,Ozone,0.016588
647,2021-02-01,34.01029,-118.0685,Ozone,0.006412
662,2021-02-02,34.01029,-118.0685,Ozone,0.013059
708,2021-02-03,34.01029,-118.0685,Ozone,0.010048
715,2021-02-04,34.01029,-118.0685,Ozone,0.015176
730,2021-02-05,34.01029,-118.0685,Ozone,0.009333
745,2021-02-06,34.01029,-118.0685,Ozone,0.018235
771,2021-02-07,34.01029,-118.0685,Ozone,0.026941
786,2021-02-08,34.01029,-118.0685,Ozone,0.037235
801,2021-02-09,34.01029,-118.0685,Ozone,0.029706
839,2021-02-10,34.01029,-118.0685,Ozone,0.010727
854,2021-02-11,34.01029,-118.0685,Ozone,0.029471
892,2021-02-12,34.01029,-118.0685,Ozone,0.028958
903,2021-02-13,34.01029,-118.0685,Ozone,0.021708
918,2021-02-14,34.01029,-118.0685,Ozone,0.036167
935,2021-02-15,34.01029,-118.0685,Ozone,0.0165
971,2021-02-16,34.01029,-118.0685,Ozone,0.025864
986,2021-02-17,34.01029,-118.0685,Ozone,0.013227
1001,2021-02-18,34.01029,-118.0685,Ozone,0.019583
1019,2021-02-19,34.01029,-118.0685,Ozone,0.014765
1034,2021-02-20,34.01029,-118.0685,Ozone,0.021294
1049,2021-02-21,34.01029,-118.0685,Ozone,0.022647
1087,2021-02-22,34.01029,-118.0685,Ozone,0.016941
1102,2021-02-23,34.01029,-118.0685,Ozone,0.018941
1117,2021-02-24,34.01029,-118.0685,Ozone,0.026588
1155,2021-02-25,34.01029,-118.0685,Ozone,0.021375
1158,2021-02-26,34.01029,-118.0685,Ozone,0.014917
1173,2021-02-27,34.01029,-118.0685,Ozone,0.023292
1211,2021-02-28,34.01029,-118.0685,Ozone,0.029941
1237,2021-03-01,34.01029,-118.0685,Ozone,0.021792
1241,2021-03-02,34.01029,-118.0685,Ozone,0.023294
1267,2021-03-03,34.01029,-118.0685,Ozone,0.024882
1282,2021-03-04,34.01029,-118.0685,Ozone,0.024412
1328,2021-03-05,34.01029,-118.0685,Ozone,0.020583
1335,2021-03-06,34.01029,-118.0685,Ozone,0.027529
1350,2021-03-07,34.01029,-118.0685,Ozone,0.035235
1365,2021-03-08,34.01029,-118.0685,Ozone,0.022294
1391,2021-03-09,34.01029,-118.0685,Ozone,0.034176
1406,2021-03-10,34.01029,-118.0685,Ozone,0.036294
1453,2021-03-11,34.01029,-118.0685,Ozone,0.032208
1459,2021-03-12,34.01029,-118.0685,Ozone,0.024
1474,2021-03-13,34.01029,-118.0685,Ozone,0.031412
1512,2021-03-14,34.01029,-118.0685,Ozone,0.034583
1515,2021-03-15,34.01029,-118.0685,Ozone,0.032882
1530,2021-03-16,34.01029,-118.0685,Ozone,0.020824
1578,2021-03-17,34.01029,-118.0685,Ozone,0.020292
1582,2021-03-18,34.01029,-118.0685,Ozone,0.024
1599,2021-03-19,34.01029,-118.0685,Ozone,0.027353
1626,2021-03-20,34.01029,-118.0685,Ozone,0.026941
1638,2021-03-21,34.01029,-118.0685,Ozone,0.032235
1653,2021-03-22,34.01029,-118.0685,Ozone,0.032706
1675,2021-03-23,34.01029,-118.0685,Ozone,0.033765
1706,2021-03-24,34.01029,-118.0685,Ozone,0.028875
1721,2021-03-25,34.01029,-118.0685,Ozone,0.033529
1738,2021-03-26,34.01029,-118.0685,Ozone,0.026471
1762,2021-03-27,34.01029,-118.0685,Ozone,0.027176
1777,2021-03-28,34.01029,-118.0685,Ozone,0.028542
1800,2021-03-29,34.01029,-118.0685,Ozone,0.026083
1843,2021-03-30,34.01029,-118.0685,Ozone,0.035792
1846,2021-03-31,34.01029,-118.0685,Ozone,0.022667
1870,2021-04-01,34.01029,-118.0685,Ozone,0.026176
1886,2021-04-02,34.01029,-118.0685,Ozone,0.037235
1903,2021-04-03,34.01029,-118.0685,Ozone,0.039
1928,2021-04-04,34.01029,-118.0685,Ozone,0.032875
1960,2021-04-05,34.01029,-118.0685,Ozone,0.027542
1975,2021-04-06,34.01029,-118.0685,Ozone,0.028292
2001,2021-04-07,34.01029,-118.0685,Ozone,0.026917
2016,2021-04-08,34.01029,-118.0685,Ozone,0.026708
2031,2021-04-09,34.01029,-118.0685,Ozone,0.029625
2053,2021-04-10,34.01029,-118.0685,Ozone,0.032
2079,2021-04-11,34.01029,-118.0685,Ozone,0.041958
2094,2021-04-12,34.01029,-118.0685,Ozone,0.04525
2113,2021-04-13,34.01029,-118.0685,Ozone,0.03875
2135,2021-04-14,34.01029,-118.0685,Ozone,0.037238
2150,2021-04-15,34.01029,-118.0685,Ozone,0.028792
2176,2021-04-16,34.01029,-118.0685,Ozone,0.028542
2203,2021-04-17,34.01029,-118.0685,Ozone,0.033542
2218,2021-04-18,34.01029,-118.0685,Ozone,0.02925
2238,2021-04-19,34.01029,-118.0685,Ozone,0.029542
2259,2021-04-20,34.01029,-118.0685,Ozone,0.036167
2274,2021-04-21,34.01029,-118.0685,Ozone,0.038958
2299,2021-04-22,34.01029,-118.0685,Ozone,0.036292
2327,2021-04-23,34.01029,-118.0685,Ozone,0.037917
2342,2021-04-24,34.01029,-118.0685,Ozone,0.036833
2358,2021-04-25,34.01029,-118.0685,Ozone,0.036458
2383,2021-04-26,34.01029,-118.0685,Ozone,0.03775
2398,2021-04-27,34.01029,-118.0685,Ozone,0.030294
2422,2021-04-28,34.01029,-118.0685,Ozone,0.029529
2451,2021-04-29,34.01029,-118.0685,Ozone,0.028167
2467,2021-04-30,34.01029,-118.0685,Ozone,0.039941
2481,2021-05-01,34.01029,-118.0685,Ozone,0.033208
2507,2021-05-02,34.01029,-118.0685,Ozone,0.035958
2522,2021-05-03,34.01029,-118.0685,Ozone,0.02975
2543,2021-05-04,34.01029,-118.0685,Ozone,0.031722
2574,2021-05-05,34.01029,-118.0685,Ozone,0.034333
2589,2021-05-06,34.01029,-118.0685,Ozone,0.038042
2604,2021-05-07,34.01029,-118.0685,Ozone,0.039864
2630,2021-05-08,34.01029,-118.0685,Ozone,0.043042
2645,2021-05-09,34.01029,-118.0685,Ozone,0.044458
2672,2021-05-10,34.01029,-118.0685,Ozone,0.041667
2698,2021-05-11,34.01029,-118.0685,Ozone,0.037125
