,date,lat,long,Parameter Name,mean_ozone
4,2022-01-01,34.1326,-118.1272,Ozone,0.017833
18,2022-01-02,34.1326,-118.1272,Ozone,0.0185
43,2022-01-03,34.1326,-118.1272,Ozone,0.013042
57,2022-01-04,34.1326,-118.1272,Ozone,0.012292
72,2022-01-05,34.1326,-118.1272,Ozone,0.010417
98,2022-01-06,34.1326,-118.1272,Ozone,0.006353
112,2022-01-07,34.1326,-118.1272,Ozone,0.012292
126,2022-01-08,34.1326,-118.1272,Ozone,0.029208
151,2022-01-09,34.1326,-118.1272,Ozone,0.019667
164,2022-01-10,34.1326,-118.1272,Ozone,0.016917
179,2022-01-11,34.1326,-118.1272,Ozone,0.018
204,2022-01-12,34.1326,-118.1272,Ozone,0.013588
218,2022-01-13,34.1326,-118.1272,Ozone,0.003882
232,2022-01-14,34.1326,-118.1272,Ozone,0.01025
257,2022-01-15,34.1326,-118.1272,Ozone,0.015125
271,2022-01-16,34.1326,-118.1272,Ozone,0.021458
286,2022-01-17,34.1326,-118.1272,Ozone,0.017667
310,2022-01-18,34.1326,-118.1272,Ozone,0.021059
320,2022-01-19,34.1326,-118.1272,Ozone,0.013353
338,2022-01-20,34.1326,-118.1272,Ozone,0.017417
363,2022-01-21,34.1326,-118.1272,Ozone,0.025583
377,2022-01-22,34.1326,-118.1272,Ozone,0.038292
389,2022-01-23,34.1326,-118.1272,Ozone,0.027292
410,2022-01-24,34.1326,-118.1272,Ozone,0.018
422,2022-01-25,34.1326,-118.1272,Ozone,0.014083
435,2022-01-26,34.1326,-118.1272,Ozone,0.01675
458,2022-01-27,34.1326,-118.1272,Ozone,0.015833
472,2022-01-28,34.1326,-118.1272,Ozone,0.020292
486,2022-01-29,34.1326,-118.1272,Ozone,0.013917
509,2022-01-30,34.1326,-118.1272,Ozone,0.021
524,2022-01-31,34.1326,-118.1272,Ozone,0.011667
538,2022-02-01,34.1326,-118.1272,Ozone,0.018083
563,2022-02-02,34.1326,-118.1272,Ozone,0.020708
577,2022-02-03,34.1326,-118.1272,Ozone,0.01625
