,date,lat,long,Parameter Name,mean_ozone
3,2022-01-01,34.181977,-118.363036,Ozone,0.018667
18,2022-01-02,34.181977,-118.363036,Ozone,0.015458
32,2022-01-03,34.181977,-118.363036,Ozone,0.011042
46,2022-01-04,34.181977,-118.363036,Ozone,0.009667
60,2022-01-05,34.181977,-118.363036,Ozone,0.009042
74,2022-01-06,34.181977,-118.363036,Ozone,0.008917
88,2022-01-07,34.181977,-118.363036,Ozone,0.010625
102,2022-01-08,34.181977,-118.363036,Ozone,0.024583
116,2022-01-09,34.181977,-118.363036,Ozone,0.014292
132,2022-01-10,34.181977,-118.363036,Ozone,0.012792
146,2022-01-11,34.181977,-118.363036,Ozone,0.017458
159,2022-01-12,34.181977,-118.363036,Ozone,0.009
173,2022-01-13,34.181977,-118.363036,Ozone,0.002583
182,2022-01-14,34.181977,-118.363036,Ozone,0.011765
196,2022-01-15,34.181977,-118.363036,Ozone,0.011708
221,2022-01-16,34.181977,-118.363036,Ozone,0.022353
235,2022-01-17,34.181977,-118.363036,Ozone,0.014412
238,2022-01-18,34.181977,-118.363036,Ozone,0.019708
258,2022-01-19,34.181977,-118.363036,Ozone,0.012
271,2022-01-20,34.181977,-118.363036,Ozone,0.013917
285,2022-01-21,34.181977,-118.363036,Ozone,0.022042
299,2022-01-22,34.181977,-118.363036,Ozone,0.040208
313,2022-01-23,34.181977,-118.363036,Ozone,0.029458
328,2022-01-24,34.181977,-118.363036,Ozone,0.011167
342,2022-01-25,34.181977,-118.363036,Ozone,0.013083
356,2022-01-26,34.181977,-118.363036,Ozone,0.014667
370,2022-01-27,34.181977,-118.363036,Ozone,0.014417
389,2022-01-28,34.181977,-118.363036,Ozone,0.020412
404,2022-01-29,34.181977,-118.363036,Ozone,0.008208
411,2022-01-30,34.181977,-118.363036,Ozone,0.01625
425,2022-01-31,34.181977,-118.363036,Ozone,0.009375
439,2022-02-01,34.181977,-118.363036,Ozone,0.015833
453,2022-02-02,34.181977,-118.363036,Ozone,0.0235
468,2022-02-03,34.181977,-118.363036,Ozone,0.013375
482,2022-02-04,34.181977,-118.363036,Ozone,0.015375
496,2022-02-05,34.181977,-118.363036,Ozone,0.015875
504,2022-02-06,34.181977,-118.363036,Ozone,0.017708
530,2022-02-07,34.181977,-118.363036,Ozone,0.018588
542,2022-02-08,34.181977,-118.363036,Ozone,0.016542
551,2022-02-09,34.181977,-118.363036,Ozone,0.025292
565,2022-02-10,34.181977,-118.363036,Ozone,0.031667
579,2022-02-11,34.181977,-118.363036,Ozone,0.017417
593,2022-02-12,34.181977,-118.363036,Ozone,0.019083
608,2022-02-13,34.181977,-118.363036,Ozone,0.02275
622,2022-02-14,34.181977,-118.363036,Ozone,0.023083
630,2022-02-15,34.181977,-118.363036,Ozone,0.033118
644,2022-02-16,34.181977,-118.363036,Ozone,0.019235
664,2022-02-17,34.181977,-118.363036,Ozone,0.021208
682,2022-02-18,34.181977,-118.363036,Ozone,0.021588
689,2022-02-19,34.181977,-118.363036,Ozone,0.028294
700,2022-02-20,34.181977,-118.363036,Ozone,0.040647
725,2022-02-21,34.181977,-118.363036,Ozone,0.036792
729,2022-02-22,34.181977,-118.363036,Ozone,0.035375
744,2022-02-23,34.181977,-118.363036,Ozone,0.034583
758,2022-02-24,34.181977,-118.363036,Ozone,0.027417
772,2022-02-25,34.181977,-118.363036,Ozone,0.018917
786,2022-02-26,34.181977,-118.363036,Ozone,0.019958
800,2022-02-27,34.181977,-118.363036,Ozone,0.022042
814,2022-02-28,34.181977,-118.363036,Ozone,0.021792
831,2022-03-01,34.181977,-118.363036,Ozone,0.022333
845,2022-03-02,34.181977,-118.363036,Ozone,0.019375
859,2022-03-03,34.181977,-118.363036,Ozone,0.028625
873,2022-03-04,34.181977,-118.363036,Ozone,0.032208
888,2022-03-05,34.181977,-118.363036,Ozone,0.034125
902,2022-03-06,34.181977,-118.363036,Ozone,0.02675
916,2022-03-07,34.181977,-118.363036,Ozone,0.021417
924,2022-03-08,34.181977,-118.363036,Ozone,0.02275
950,2022-03-09,34.181977,-118.363036,Ozone,0.036471
954,2022-03-10,34.181977,-118.363036,Ozone,0.035235
972,2022-03-11,34.181977,-118.363036,Ozone,0.031042
986,2022-03-12,34.181977,-118.363036,Ozone,0.025708
1000,2022-03-13,34.181977,-118.363036,Ozone,0.032667
1014,2022-03-14,34.181977,-118.363036,Ozone,0.031958
1028,2022-03-15,34.181977,-118.363036,Ozone,0.023917
1042,2022-03-16,34.181977,-118.363036,Ozone,0.031458
1055,2022-03-17,34.181977,-118.363036,Ozone,0.025792
1069,2022-03-18,34.181977,-118.363036,Ozone,0.028417
1078,2022-03-19,34.181977,-118.363036,Ozone,0.036353
1092,2022-03-20,34.181977,-118.363036,Ozone,0.03975
1111,2022-03-21,34.181977,-118.363036,Ozone,0.030958
1125,2022-03-22,34.181977,-118.363036,Ozone,0.024833
1139,2022-03-23,34.181977,-118.363036,Ozone,0.024
1153,2022-03-24,34.181977,-118.363036,Ozone,0.026958
1168,2022-03-25,34.181977,-118.363036,Ozone,0.023667
1182,2022-03-26,34.181977,-118.363036,Ozone,0.029833
1196,2022-03-27,34.181977,-118.363036,Ozone,0.040042
1210,2022-03-28,34.181977,-118.363036,Ozone,0.03625
1224,2022-03-29,34.181977,-118.363036,Ozone,0.0255
1232,2022-03-30,34.181977,-118.363036,Ozone,0.025583
1251,2022-03-31,34.181977,-118.363036,Ozone,0.032417
1265,2022-04-01,34.181977,-118.363036,Ozone,0.03125
1279,2022-04-02,34.181977,-118.363036,Ozone,0.034083
1293,2022-04-03,34.181977,-118.363036,Ozone,0.038667
1308,2022-04-04,34.181977,-118.363036,Ozone,0.034708
1322,2022-04-05,34.181977,-118.363036,Ozone,0.031333
1336,2022-04-06,34.181977,-118.363036,Ozone,0.034
1344,2022-04-07,34.181977,-118.363036,Ozone,0.0325
1370,2022-04-08,34.181977,-118.363036,Ozone,0.033471
1380,2022-04-09,34.181977,-118.363036,Ozone,0.0365
1391,2022-04-10,34.181977,-118.363036,Ozone,0.043958
1405,2022-04-11,34.181977,-118.363036,Ozone,0.038833
1419,2022-04-12,34.181977,-118.363036,Ozone,0.044292
1433,2022-04-13,34.181977,-118.363036,Ozone,0.044167
1448,2022-04-14,34.181977,-118.363036,Ozone,0.03413
1462,2022-04-15,34.181977,-118.363036,Ozone,0.032
1476,2022-04-16,34.181977,-118.363036,Ozone,0.029125
1484,2022-04-17,34.181977,-118.363036,Ozone,0.034708
1510,2022-04-18,34.181977,-118.363036,Ozone,0.036941
1522,2022-04-19,34.181977,-118.363036,Ozone,0.029417
1531,2022-04-20,34.181977,-118.363036,Ozone,0.035458
1545,2022-04-21,34.181977,-118.363036,Ozone,0.029083
1559,2022-04-22,34.181977,-118.363036,Ozone,0.036958
1573,2022-04-23,34.181977,-118.363036,Ozone,0.033875
1588,2022-04-24,34.181977,-118.363036,Ozone,0.042833
1602,2022-04-25,34.181977,-118.363036,Ozone,0.036917
1616,2022-04-26,34.181977,-118.363036,Ozone,0.033875
1630,2022-04-27,34.181977,-118.363036,Ozone,0.043
1644,2022-04-28,34.181977,-118.363036,Ozone,0.04375
1652,2022-04-29,34.181977,-118.363036,Ozone,0.038
1671,2022-04-30,34.181977,-118.363036,Ozone,0.037042
1685,2022-05-01,34.181977,-118.363036,Ozone,0.040917
1699,2022-05-02,34.181977,-118.363036,Ozone,0.042667
1713,2022-05-03,34.181977,-118.363036,Ozone,0.041048
1728,2022-05-04,34.181977,-118.363036,Ozone,0.035917
1742,2022-05-05,34.181977,-118.363036,Ozone,0.03525
1756,2022-05-06,34.181977,-118.363036,Ozone,0.036333
1770,2022-05-07,34.181977,-118.363036,Ozone,0.032292
1789,2022-05-08,34.181977,-118.363036,Ozone,0.036824
1804,2022-05-09,34.181977,-118.363036,Ozone,0.037708
1812,2022-05-10,34.181977,-118.363036,Ozone,0.029625
1826,2022-05-11,34.181977,-118.363036,Ozone,0.036875
1839,2022-05-12,34.181977,-118.363036,Ozone,0.044
1853,2022-05-13,34.181977,-118.363036,Ozone,0.041583
1867,2022-05-14,34.181977,-118.363036,Ozone,0.047958
1881,2022-05-15,34.181977,-118.363036,Ozone,0.038958
1896,2022-05-16,34.181977,-118.363036,Ozone,0.033048
1904,2022-05-17,34.181977,-118.363036,Ozone,0.031158
1930,2022-05-18,34.181977,-118.363036,Ozone,0.044059
1942,2022-05-19,34.181977,-118.363036,Ozone,0.037333
1958,2022-05-20,34.181977,-118.363036,Ozone,0.033529
1972,2022-05-21,34.181977,-118.363036,Ozone,0.034941
1985,2022-05-22,34.181977,-118.363036,Ozone,0.034125
1988,2022-05-23,34.181977,-118.363036,Ozone,0.036875
2002,2022-05-24,34.181977,-118.363036,Ozone,0.046294
2027,2022-05-25,34.181977,-118.363036,Ozone,0.0445
2033,2022-05-26,34.181977,-118.363036,Ozone,0.0395
2047,2022-05-27,34.181977,-118.363036,Ozone,0.036583
2068,2022-05-28,34.181977,-118.363036,Ozone,0.032471
2080,2022-05-29,34.181977,-118.363036,Ozone,0.029292
2091,2022-05-30,34.181977,-118.363036,Ozone,0.032375
2100,2022-05-31,34.181977,-118.363036,Ozone,0.032417
2119,2022-06-01,34.181977,-118.363036,Ozone,0.030217
2133,2022-06-02,34.181977,-118.363036,Ozone,0.033762
2148,2022-06-03,34.181977,-118.363036,Ozone,0.038958
2162,2022-06-04,34.181977,-118.363036,Ozone,0.036583
2176,2022-06-05,34.181977,-118.363036,Ozone,0.028417
2190,2022-06-06,34.181977,-118.363036,Ozone,0.028667
2199,2022-06-07,34.181977,-118.363036,Ozone,0.035059
2212,2022-06-08,34.181977,-118.363036,Ozone,0.036667
2231,2022-06-09,34.181977,-118.363036,Ozone,0.04519
2245,2022-06-10,34.181977,-118.363036,Ozone,0.047286
2259,2022-06-11,34.181977,-118.363036,Ozone,0.041826
2273,2022-06-12,34.181977,-118.363036,Ozone,0.039083
2288,2022-06-13,34.181977,-118.363036,Ozone,0.033792
2302,2022-06-14,34.181977,-118.363036,Ozone,0.03575
2316,2022-06-15,34.181977,-118.363036,Ozone,0.037458
2324,2022-06-16,34.181977,-118.363036,Ozone,0.040583
2350,2022-06-17,34.181977,-118.363036,Ozone,0.038765
2362,2022-06-18,34.181977,-118.363036,Ozone,0.033625
2371,2022-06-19,34.181977,-118.363036,Ozone,0.030708
2385,2022-06-20,34.181977,-118.363036,Ozone,0.036375
2399,2022-06-21,34.181977,-118.363036,Ozone,0.034625
2413,2022-06-22,34.181977,-118.363036,Ozone,0.030917
2428,2022-06-23,34.181977,-118.363036,Ozone,0.034708
2442,2022-06-24,34.181977,-118.363036,Ozone,0.033875
2456,2022-06-25,34.181977,-118.363036,Ozone,0.032083
2464,2022-06-26,34.181977,-118.363036,Ozone,0.037333
2490,2022-06-27,34.181977,-118.363036,Ozone,0.043824
2502,2022-06-28,34.181977,-118.363036,Ozone,0.040208
2513,2022-06-29,34.181977,-118.363036,Ozone,0.042529
2522,2022-06-30,34.181977,-118.363036,Ozone,0.042059
2536,2022-07-01,34.181977,-118.363036,Ozone,0.033708
2550,2022-07-02,34.181977,-118.363036,Ozone,0.03225
2564,2022-07-03,34.181977,-118.363036,Ozone,0.032667
2571,2022-07-04,34.181977,-118.363036,Ozone,0.034588
2580,2022-07-05,34.181977,-118.363036,Ozone,0.025882
2599,2022-07-06,34.181977,-118.363036,Ozone,0.017647
2607,2022-07-07,34.181977,-118.363036,Ozone,0.023917
2629,2022-07-08,34.181977,-118.363036,Ozone,0.026708
2634,2022-07-09,34.181977,-118.363036,Ozone,0.027958
2652,2022-07-10,34.181977,-118.363036,Ozone,0.036412
2663,2022-07-11,34.181977,-118.363036,Ozone,0.028167
2683,2022-07-12,34.181977,-118.363036,Ozone,0.033941
2702,2022-07-13,34.181977,-118.363036,Ozone,0.030583
2704,2022-07-14,34.181977,-118.363036,Ozone,0.0275
2727,2022-07-15,34.181977,-118.363036,Ozone,0.034208
2737,2022-07-16,34.181977,-118.363036,Ozone,0.041765
2746,2022-07-17,34.181977,-118.363036,Ozone,0.041471
2769,2022-07-18,34.181977,-118.363036,Ozone,0.041176
2780,2022-07-19,34.181977,-118.363036,Ozone,0.031958
2794,2022-07-20,34.181977,-118.363036,Ozone,0.031083
2808,2022-07-21,34.181977,-118.363036,Ozone,0.0355
2822,2022-07-22,34.181977,-118.363036,Ozone,0.034375
2835,2022-07-23,34.181977,-118.363036,Ozone,0.036792
2849,2022-07-24,34.181977,-118.363036,Ozone,0.037083
2863,2022-07-25,34.181977,-118.363036,Ozone,0.036458
2877,2022-07-26,34.181977,-118.363036,Ozone,0.036208
2897,2022-07-27,34.181977,-118.363036,Ozone,0.035647
2912,2022-07-28,34.181977,-118.363036,Ozone,0.027583
2917,2022-07-29,34.181977,-118.363036,Ozone,0.036059
2928,2022-07-30,34.181977,-118.363036,Ozone,0.033882
