date,lat,long,Parameter Name,mean_ozone
2022-01-01,34.01029,-118.0685,Ozone,0.01425
2022-01-02,34.01029,-118.0685,Ozone,0.014882
2022-01-03,34.01029,-118.0685,Ozone,0.010882
2022-01-04,34.01029,-118.0685,Ozone,0.011059
2022-01-05,34.01029,-118.0685,Ozone,0.005792
2022-01-06,34.01029,-118.0685,Ozone,0.005083
2022-01-07,34.01029,-118.0685,Ozone,0.016375
2022-01-08,34.01029,-118.0685,Ozone,0.022833
2022-01-09,34.01029,-118.0685,Ozone,0.013042
2022-01-10,34.01029,-118.0685,Ozone,0.011125
2022-01-11,34.01029,-118.0685,Ozone,0.011708
2022-01-12,34.01029,-118.0685,Ozone,0.006083
2022-01-13,34.01029,-118.0685,Ozone,0.001708
2022-01-14,34.01029,-118.0685,Ozone,0.005292
2022-01-15,34.01029,-118.0685,Ozone,0.009333
2022-01-16,34.01029,-118.0685,Ozone,0.023542
2022-01-17,34.01029,-118.0685,Ozone,0.011417
2022-01-18,34.01029,-118.0685,Ozone,0.016333
2022-01-19,34.01029,-118.0685,Ozone,0.011083
2022-01-20,34.01029,-118.0685,Ozone,0.005
2022-01-21,34.01029,-118.0685,Ozone,0.020208
2022-01-22,34.01029,-118.0685,Ozone,0.0285
2022-01-23,34.01029,-118.0685,Ozone,0.013375
2022-01-24,34.01029,-118.0685,Ozone,0.012292
2022-01-25,34.01029,-118.0685,Ozone,0.008381
2022-01-26,34.01029,-118.0685,Ozone,0.009818
2022-01-27,34.01029,-118.0685,Ozone,0.00565
2022-01-28,34.01029,-118.0685,Ozone,0.024
2022-01-29,34.01029,-118.0685,Ozone,0.012583
2022-01-30,34.01029,-118.0685,Ozone,0.013625
2022-01-31,34.01029,-118.0685,Ozone,0.012
2022-02-01,34.01029,-118.0685,Ozone,0.015083
2022-02-02,34.01029,-118.0685,Ozone,0.014208
2022-02-03,34.01029,-118.0685,Ozone,0.011333
2022-02-04,34.01029,-118.0685,Ozone,0.009524
2022-02-05,34.01029,-118.0685,Ozone,0.014958
2022-02-06,34.01029,-118.0685,Ozone,0.015167
2022-02-07,34.01029,-118.0685,Ozone,0.015417
2022-02-08,34.01029,-118.0685,Ozone,0.015167
2022-02-09,34.01029,-118.0685,Ozone,0.005909
2022-02-10,34.01029,-118.0685,Ozone,0.017588
2022-02-11,34.01029,-118.0685,Ozone,0.017
2022-02-12,34.01029,-118.0685,Ozone,0.016792
2022-02-13,34.01029,-118.0685,Ozone,0.023792
2022-02-14,34.01029,-118.0685,Ozone,0.019833
2022-02-15,34.01029,-118.0685,Ozone,0.030583
2022-02-16,34.01029,-118.0685,Ozone,0.017083
2022-02-17,34.01029,-118.0685,Ozone,0.021
2022-02-18,34.01029,-118.0685,Ozone,0.018529
2022-02-19,34.01029,-118.0685,Ozone,0.019708
