,date,lat,long,Parameter Name,mean_ozone
13,2022-01-01,34.19925,-118.53276,Ozone,0.034125
17,2022-01-02,34.19925,-118.53276,Ozone,0.017824
50,2022-01-03,34.19925,-118.53276,Ozone,0.015292
65,2022-01-04,34.19925,-118.53276,Ozone,0.008458
82,2022-01-05,34.19925,-118.53276,Ozone,0.026333
109,2022-01-06,34.19925,-118.53276,Ozone,0.011375
125,2022-01-07,34.19925,-118.53276,Ozone,0.012
141,2022-01-08,34.19925,-118.53276,Ozone,0.022625
168,2022-01-09,34.19925,-118.53276,Ozone,0.018583
178,2022-01-10,34.19925,-118.53276,Ozone,0.033792
210,2022-01-11,34.19925,-118.53276,Ozone,0.026294
227,2022-01-12,34.19925,-118.53276,Ozone,0.013583
243,2022-01-13,34.19925,-118.53276,Ozone,0.003083
259,2022-01-14,34.19925,-118.53276,Ozone,0.021208
287,2022-01-15,34.19925,-118.53276,Ozone,0.014125
303,2022-01-16,34.19925,-118.53276,Ozone,0.018042
319,2022-01-17,34.19925,-118.53276,Ozone,0.017375
346,2022-01-18,34.19925,-118.53276,Ozone,0.014833
362,2022-01-19,34.19925,-118.53276,Ozone,0.014667
381,2022-01-20,34.19925,-118.53276,Ozone,0.018059
400,2022-01-21,34.19925,-118.53276,Ozone,0.038706
413,2022-01-22,34.19925,-118.53276,Ozone,0.036706
438,2022-01-23,34.19925,-118.53276,Ozone,0.039792
465,2022-01-24,34.19925,-118.53276,Ozone,0.021625
481,2022-01-25,34.19925,-118.53276,Ozone,0.014
497,2022-01-26,34.19925,-118.53276,Ozone,0.017042
526,2022-01-27,34.19925,-118.53276,Ozone,0.014417
542,2022-01-28,34.19925,-118.53276,Ozone,0.02975
558,2022-01-29,34.19925,-118.53276,Ozone,0.012292
574,2022-01-30,34.19925,-118.53276,Ozone,0.017647
597,2022-01-31,34.19925,-118.53276,Ozone,0.011647
613,2022-02-01,34.19925,-118.53276,Ozone,0.020333
640,2022-02-02,34.19925,-118.53276,Ozone,0.040875
656,2022-02-03,34.19925,-118.53276,Ozone,0.02975
673,2022-02-04,34.19925,-118.53276,Ozone,0.032208
700,2022-02-05,34.19925,-118.53276,Ozone,0.023958
716,2022-02-06,34.19925,-118.53276,Ozone,0.039
732,2022-02-07,34.19925,-118.53276,Ozone,0.0225
759,2022-02-08,34.19925,-118.53276,Ozone,0.025333
768,2022-02-09,34.19925,-118.53276,Ozone,0.042125
800,2022-02-10,34.19925,-118.53276,Ozone,0.038353
818,2022-02-11,34.19925,-118.53276,Ozone,0.0265
834,2022-02-12,34.19925,-118.53276,Ozone,0.021542
850,2022-02-13,34.19925,-118.53276,Ozone,0.023708
877,2022-02-14,34.19925,-118.53276,Ozone,0.02575
893,2022-02-15,34.19925,-118.53276,Ozone,0.035833
908,2022-02-16,34.19925,-118.53276,Ozone,0.026708
935,2022-02-17,34.19925,-118.53276,Ozone,0.027042
951,2022-02-18,34.19925,-118.53276,Ozone,0.023375
973,2022-02-19,34.19925,-118.53276,Ozone,0.025208
992,2022-02-20,34.19925,-118.53276,Ozone,0.042118
1005,2022-02-21,34.19925,-118.53276,Ozone,0.039667
1025,2022-02-22,34.19925,-118.53276,Ozone,0.035042
1053,2022-02-23,34.19925,-118.53276,Ozone,0.036375
1069,2022-02-24,34.19925,-118.53276,Ozone,0.028118
1085,2022-02-25,34.19925,-118.53276,Ozone,0.025208
1112,2022-02-26,34.19925,-118.53276,Ozone,0.022458
1128,2022-02-27,34.19925,-118.53276,Ozone,0.02975
1152,2022-02-28,34.19925,-118.53276,Ozone,0.043667
1164,2022-03-01,34.19925,-118.53276,Ozone,0.025
1187,2022-03-02,34.19925,-118.53276,Ozone,0.025824
1203,2022-03-03,34.19925,-118.53276,Ozone,0.028792
1230,2022-03-04,34.19925,-118.53276,Ozone,0.028333
1246,2022-03-05,34.19925,-118.53276,Ozone,0.038042
1263,2022-03-06,34.19925,-118.53276,Ozone,0.028667
1290,2022-03-07,34.19925,-118.53276,Ozone,0.02775
1306,2022-03-08,34.19925,-118.53276,Ozone,0.033083
1322,2022-03-09,34.19925,-118.53276,Ozone,0.029292
1349,2022-03-10,34.19925,-118.53276,Ozone,0.033458
1358,2022-03-11,34.19925,-118.53276,Ozone,0.044167
1390,2022-03-12,34.19925,-118.53276,Ozone,0.035647
1407,2022-03-13,34.19925,-118.53276,Ozone,0.032292
1423,2022-03-14,34.19925,-118.53276,Ozone,0.032333
1439,2022-03-15,34.19925,-118.53276,Ozone,0.0275
1467,2022-03-16,34.19925,-118.53276,Ozone,0.041524
1483,2022-03-17,34.19925,-118.53276,Ozone,0.03975
1499,2022-03-18,34.19925,-118.53276,Ozone,0.039048
1526,2022-03-19,34.19925,-118.53276,Ozone,0.027333
1542,2022-03-20,34.19925,-118.53276,Ozone,0.038333
1559,2022-03-21,34.19925,-118.53276,Ozone,0.040417
1586,2022-03-22,34.19925,-118.53276,Ozone,0.036636
1602,2022-03-23,34.19925,-118.53276,Ozone,0.026958
1618,2022-03-24,34.19925,-118.53276,Ozone,0.03
1645,2022-03-25,34.19925,-118.53276,Ozone,0.0265
1661,2022-03-26,34.19925,-118.53276,Ozone,0.030958
1677,2022-03-27,34.19925,-118.53276,Ozone,0.041833
1706,2022-03-28,34.19925,-118.53276,Ozone,0.037458
1722,2022-03-29,34.19925,-118.53276,Ozone,0.026083
1738,2022-03-30,34.19925,-118.53276,Ozone,0.026958
1754,2022-03-31,34.19925,-118.53276,Ozone,0.033792
1784,2022-04-01,34.19925,-118.53276,Ozone,0.037471
1808,2022-04-02,34.19925,-118.53276,Ozone,0.040353
1819,2022-04-03,34.19925,-118.53276,Ozone,0.039167
1836,2022-04-04,34.19925,-118.53276,Ozone,0.030583
1853,2022-04-05,34.19925,-118.53276,Ozone,0.035417
1880,2022-04-06,34.19925,-118.53276,Ozone,0.027417
1896,2022-04-07,34.19925,-118.53276,Ozone,0.033417
1912,2022-04-08,34.19925,-118.53276,Ozone,0.040958
1939,2022-04-09,34.19925,-118.53276,Ozone,0.039208
1948,2022-04-10,34.19925,-118.53276,Ozone,0.03925
1980,2022-04-11,34.19925,-118.53276,Ozone,0.042647
1997,2022-04-12,34.19925,-118.53276,Ozone,0.043875
2013,2022-04-13,34.19925,-118.53276,Ozone,0.047542
2029,2022-04-14,34.19925,-118.53276,Ozone,0.032208
2057,2022-04-15,34.19925,-118.53276,Ozone,0.029
2073,2022-04-16,34.19925,-118.53276,Ozone,0.030542
2089,2022-04-17,34.19925,-118.53276,Ozone,0.0335
2116,2022-04-18,34.19925,-118.53276,Ozone,0.033083
2132,2022-04-19,34.19925,-118.53276,Ozone,0.028375
2149,2022-04-20,34.19925,-118.53276,Ozone,0.035625
2176,2022-04-21,34.19925,-118.53276,Ozone,0.03025
2192,2022-04-22,34.19925,-118.53276,Ozone,0.037792
2208,2022-04-23,34.19925,-118.53276,Ozone,0.032333
2235,2022-04-24,34.19925,-118.53276,Ozone,0.042083
2251,2022-04-25,34.19925,-118.53276,Ozone,0.039458
2267,2022-04-26,34.19925,-118.53276,Ozone,0.037667
2296,2022-04-27,34.19925,-118.53276,Ozone,0.045333
2312,2022-04-28,34.19925,-118.53276,Ozone,0.043583
2328,2022-04-29,34.19925,-118.53276,Ozone,0.036375
2344,2022-04-30,34.19925,-118.53276,Ozone,0.049059
2367,2022-05-01,34.19925,-118.53276,Ozone,0.050235
2383,2022-05-02,34.19925,-118.53276,Ozone,0.0415
2410,2022-05-03,34.19925,-118.53276,Ozone,0.042583
2426,2022-05-04,34.19925,-118.53276,Ozone,0.039217
2443,2022-05-05,34.19925,-118.53276,Ozone,0.039708
2470,2022-05-06,34.19925,-118.53276,Ozone,0.038958
2486,2022-05-07,34.19925,-118.53276,Ozone,0.033875
2502,2022-05-08,34.19925,-118.53276,Ozone,0.037375
2529,2022-05-09,34.19925,-118.53276,Ozone,0.042375
2538,2022-05-10,34.19925,-118.53276,Ozone,0.032458
2570,2022-05-11,34.19925,-118.53276,Ozone,0.044353
