,date,lat,long,Parameter Name,mean_ozone
11,2022-01-01,34.276316,-118.683685,Ozone,0.039773
35,2022-01-02,34.276316,-118.683685,Ozone,0.029273
60,2022-01-03,34.276316,-118.683685,Ozone,0.018591
84,2022-01-04,34.276316,-118.683685,Ozone,0.015227
152,2022-01-05,34.276316,-118.683685,Ozone,0.034455
179,2022-01-06,34.276316,-118.683685,Ozone,0.016636
204,2022-01-07,34.276316,-118.683685,Ozone,0.014591
228,2022-01-08,34.276316,-118.683685,Ozone,0.022636
252,2022-01-09,34.276316,-118.683685,Ozone,0.039045
272,2022-01-10,34.276316,-118.683685,Ozone,0.040882
293,2022-01-11,34.276316,-118.683685,Ozone,0.042353
326,2022-01-12,34.276316,-118.683685,Ozone,0.030909
349,2022-01-13,34.276316,-118.683685,Ozone,0.010545
367,2022-01-14,34.276316,-118.683685,Ozone,0.029909
382,2022-01-15,34.276316,-118.683685,Ozone,0.035955
397,2022-01-16,34.276316,-118.683685,Ozone,0.028818
443,2022-01-17,34.276316,-118.683685,Ozone,0.023045
479,2022-01-18,34.276316,-118.683685,Ozone,0.023455
504,2022-01-19,34.276316,-118.683685,Ozone,0.018682
526,2022-01-20,34.276316,-118.683685,Ozone,0.029591
550,2022-01-21,34.276316,-118.683685,Ozone,0.0295
574,2022-01-22,34.276316,-118.683685,Ozone,0.041636
598,2022-01-23,34.276316,-118.683685,Ozone,0.035636
622,2022-01-24,34.276316,-118.683685,Ozone,0.026818
648,2022-01-25,34.276316,-118.683685,Ozone,0.029091
672,2022-01-26,34.276316,-118.683685,Ozone,0.041727
695,2022-01-27,34.276316,-118.683685,Ozone,0.044773
719,2022-01-28,34.276316,-118.683685,Ozone,0.047045
784,2022-01-29,34.276316,-118.683685,Ozone,0.041636
814,2022-01-30,34.276316,-118.683685,Ozone,0.025706
838,2022-01-31,34.276316,-118.683685,Ozone,0.017706
855,2022-02-01,34.276316,-118.683685,Ozone,0.031318
874,2022-02-02,34.276316,-118.683685,Ozone,0.042588
896,2022-02-03,34.276316,-118.683685,Ozone,0.043235
942,2022-02-04,34.276316,-118.683685,Ozone,0.042636
966,2022-02-05,34.276316,-118.683685,Ozone,0.042909
990,2022-02-06,34.276316,-118.683685,Ozone,0.043909
1014,2022-02-07,34.276316,-118.683685,Ozone,0.0435
1038,2022-02-08,34.276316,-118.683685,Ozone,0.042591
1053,2022-02-09,34.276316,-118.683685,Ozone,0.038864
1120,2022-02-10,34.276316,-118.683685,Ozone,0.038727
1149,2022-02-11,34.276316,-118.683685,Ozone,0.033636
1173,2022-02-12,34.276316,-118.683685,Ozone,0.038045
1198,2022-02-13,34.276316,-118.683685,Ozone,0.032318
1221,2022-02-14,34.276316,-118.683685,Ozone,0.030636
1244,2022-02-15,34.276316,-118.683685,Ozone,0.037318
1268,2022-02-16,34.276316,-118.683685,Ozone,0.0295
1292,2022-02-17,34.276316,-118.683685,Ozone,0.0365
1316,2022-02-18,34.276316,-118.683685,Ozone,0.028955
1339,2022-02-19,34.276316,-118.683685,Ozone,0.029136
1363,2022-02-20,34.276316,-118.683685,Ozone,0.035864
1387,2022-02-21,34.276316,-118.683685,Ozone,0.041727
1453,2022-02-22,34.276316,-118.683685,Ozone,0.0375
1483,2022-02-23,34.276316,-118.683685,Ozone,0.034227
1509,2022-02-24,34.276316,-118.683685,Ozone,0.032048
1533,2022-02-25,34.276316,-118.683685,Ozone,0.030545
1557,2022-02-26,34.276316,-118.683685,Ozone,0.041091
1581,2022-02-27,34.276316,-118.683685,Ozone,0.044364
1605,2022-02-28,34.276316,-118.683685,Ozone,0.042909
1626,2022-03-01,34.276316,-118.683685,Ozone,0.030636
1650,2022-03-02,34.276316,-118.683685,Ozone,0.034909
1674,2022-03-03,34.276316,-118.683685,Ozone,0.039318
1698,2022-03-04,34.276316,-118.683685,Ozone,0.033773
1723,2022-03-05,34.276316,-118.683685,Ozone,0.039273
1791,2022-03-06,34.276316,-118.683685,Ozone,0.031682
1820,2022-03-07,34.276316,-118.683685,Ozone,0.033773
1844,2022-03-08,34.276316,-118.683685,Ozone,0.036
1868,2022-03-09,34.276316,-118.683685,Ozone,0.039409
1892,2022-03-10,34.276316,-118.683685,Ozone,0.037591
1913,2022-03-11,34.276316,-118.683685,Ozone,0.043818
1937,2022-03-12,34.276316,-118.683685,Ozone,0.0415
1962,2022-03-13,34.276316,-118.683685,Ozone,0.033409
1987,2022-03-14,34.276316,-118.683685,Ozone,0.035955
2012,2022-03-15,34.276316,-118.683685,Ozone,0.034318
2036,2022-03-16,34.276316,-118.683685,Ozone,0.044167
2060,2022-03-17,34.276316,-118.683685,Ozone,0.042739
2124,2022-03-18,34.276316,-118.683685,Ozone,0.045227
2153,2022-03-19,34.276316,-118.683685,Ozone,0.032591
2177,2022-03-20,34.276316,-118.683685,Ozone,0.037818
2200,2022-03-21,34.276316,-118.683685,Ozone,0.042045
2224,2022-03-22,34.276316,-118.683685,Ozone,0.036455
2248,2022-03-23,34.276316,-118.683685,Ozone,0.039864
2272,2022-03-24,34.276316,-118.683685,Ozone,0.038136
2297,2022-03-25,34.276316,-118.683685,Ozone,0.031864
2323,2022-03-26,34.276316,-118.683685,Ozone,0.034409
2347,2022-03-27,34.276316,-118.683685,Ozone,0.043818
2371,2022-03-28,34.276316,-118.683685,Ozone,0.041591
2395,2022-03-29,34.276316,-118.683685,Ozone,0.029727
2460,2022-03-30,34.276316,-118.683685,Ozone,0.031045
2487,2022-03-31,34.276316,-118.683685,Ozone,0.034545
2510,2022-04-01,34.276316,-118.683685,Ozone,0.033227
2534,2022-04-02,34.276316,-118.683685,Ozone,0.032318
2558,2022-04-03,34.276316,-118.683685,Ozone,0.040136
2582,2022-04-04,34.276316,-118.683685,Ozone,0.029318
2607,2022-04-05,34.276316,-118.683685,Ozone,0.037682
2631,2022-04-06,34.276316,-118.683685,Ozone,0.041182
2655,2022-04-07,34.276316,-118.683685,Ozone,0.0465
2680,2022-04-08,34.276316,-118.683685,Ozone,0.042864
2704,2022-04-09,34.276316,-118.683685,Ozone,0.041773
2728,2022-04-10,34.276316,-118.683685,Ozone,0.039455
2796,2022-04-11,34.276316,-118.683685,Ozone,0.037
2823,2022-04-12,34.276316,-118.683685,Ozone,0.04515
2847,2022-04-13,34.276316,-118.683685,Ozone,0.047409
2871,2022-04-14,34.276316,-118.683685,Ozone,0.04015
2897,2022-04-15,34.276316,-118.683685,Ozone,0.036882
2921,2022-04-16,34.276316,-118.683685,Ozone,0.031409
2945,2022-04-17,34.276316,-118.683685,Ozone,0.033136
2969,2022-04-18,34.276316,-118.683685,Ozone,0.035045
2993,2022-04-19,34.276316,-118.683685,Ozone,0.030955
3017,2022-04-20,34.276316,-118.683685,Ozone,0.037591
3041,2022-04-21,34.276316,-118.683685,Ozone,0.032
3065,2022-04-22,34.276316,-118.683685,Ozone,0.037636
3119,2022-04-23,34.276316,-118.683685,Ozone,0.045136
3158,2022-04-24,34.276316,-118.683685,Ozone,0.044409
3182,2022-04-25,34.276316,-118.683685,Ozone,0.046136
3206,2022-04-26,34.276316,-118.683685,Ozone,0.046636
3230,2022-04-27,34.276316,-118.683685,Ozone,0.0455
3256,2022-04-28,34.276316,-118.683685,Ozone,0.042318
