,date,lat,long,Parameter Name,mean_ozone
9,2022-01-01,34.05111,-118.45636,Ozone,0.033042
23,2022-01-02,34.05111,-118.45636,Ozone,0.031792
36,2022-01-03,34.05111,-118.45636,Ozone,0.017417
49,2022-01-04,34.05111,-118.45636,Ozone,0.01225
62,2022-01-05,34.05111,-118.45636,Ozone,0.006958
75,2022-01-06,34.05111,-118.45636,Ozone,0.006529
88,2022-01-07,34.05111,-118.45636,Ozone,0.009042
101,2022-01-08,34.05111,-118.45636,Ozone,0.025292
114,2022-01-09,34.05111,-118.45636,Ozone,0.021375
122,2022-01-10,34.05111,-118.45636,Ozone,0.032235
137,2022-01-11,34.05111,-118.45636,Ozone,0.029706
145,2022-01-12,34.05111,-118.45636,Ozone,0.017708
162,2022-01-13,34.05111,-118.45636,Ozone,0.001706
180,2022-01-14,34.05111,-118.45636,Ozone,0.007208
193,2022-01-15,34.05111,-118.45636,Ozone,0.020083
206,2022-01-16,34.05111,-118.45636,Ozone,0.029125
219,2022-01-17,34.05111,-118.45636,Ozone,0.023042
232,2022-01-18,34.05111,-118.45636,Ozone,0.024375
245,2022-01-19,34.05111,-118.45636,Ozone,0.017083
257,2022-01-20,34.05111,-118.45636,Ozone,0.014
270,2022-01-21,34.05111,-118.45636,Ozone,0.018708
283,2022-01-22,34.05111,-118.45636,Ozone,0.037833
296,2022-01-23,34.05111,-118.45636,Ozone,0.034667
310,2022-01-24,34.05111,-118.45636,Ozone,0.014333
323,2022-01-25,34.05111,-118.45636,Ozone,0.01325
336,2022-01-26,34.05111,-118.45636,Ozone,0.018208
344,2022-01-27,34.05111,-118.45636,Ozone,0.017941
361,2022-01-28,34.05111,-118.45636,Ozone,0.025125
364,2022-01-29,34.05111,-118.45636,Ozone,0.028625
380,2022-01-30,34.05111,-118.45636,Ozone,0.018
394,2022-01-31,34.05111,-118.45636,Ozone,0.012542
404,2022-02-01,34.05111,-118.45636,Ozone,0.024471
422,2022-02-02,34.05111,-118.45636,Ozone,0.031208
440,2022-02-03,34.05111,-118.45636,Ozone,0.02075
453,2022-02-04,34.05111,-118.45636,Ozone,0.022708
466,2022-02-05,34.05111,-118.45636,Ozone,0.022458
479,2022-02-06,34.05111,-118.45636,Ozone,0.01925
492,2022-02-07,34.05111,-118.45636,Ozone,0.026471
505,2022-02-08,34.05111,-118.45636,Ozone,0.023458
511,2022-02-09,34.05111,-118.45636,Ozone,0.033882
524,2022-02-10,34.05111,-118.45636,Ozone,0.012545
542,2022-02-11,34.05111,-118.45636,Ozone,0.020588
548,2022-02-12,34.05111,-118.45636,Ozone,0.03
570,2022-02-13,34.05111,-118.45636,Ozone,0.032583
583,2022-02-14,34.05111,-118.45636,Ozone,0.024958
596,2022-02-15,34.05111,-118.45636,Ozone,0.034125
