date,lat,long,Parameter Name,mean_ozone
2024-01-01,34.01029,-118.0685,Ozone,0.015542
2024-01-01,34.01029,-118.0685,Ozone,0.016647
2024-01-02,34.01029,-118.0685,Ozone,0.005727
2024-01-02,34.01029,-118.0685,Ozone,0.006526
2024-01-03,34.01029,-118.0685,Ozone,0.018458
2024-01-03,34.01029,-118.0685,Ozone,0.022
2024-01-04,34.01029,-118.0685,Ozone,0.008294
2024-01-04,34.01029,-118.0685,Ozone,0.007875
2024-01-05,34.01029,-118.0685,Ozone,0.007708
2024-01-05,34.01029,-118.0685,Ozone,0.008882
2024-01-06,34.01029,-118.0685,Ozone,0.015583
2024-01-06,34.01029,-118.0685,Ozone,0.026471
2024-01-07,34.01029,-118.0685,Ozone,0.028118
2024-01-07,34.01029,-118.0685,Ozone,0.034875
2024-01-08,34.01029,-118.0685,Ozone,0.012542
2024-01-08,34.01029,-118.0685,Ozone,0.012765
2024-01-09,34.01029,-118.0685,Ozone,0.008125
2024-01-09,34.01029,-118.0685,Ozone,0.008824
2024-01-10,34.01029,-118.0685,Ozone,0.010542
2024-01-10,34.01029,-118.0685,Ozone,0.012765
2024-01-11,34.01029,-118.0685,Ozone,0.016647
2024-01-11,34.01029,-118.0685,Ozone,0.020583
2024-01-12,34.01029,-118.0685,Ozone,0.013
2024-01-12,34.01029,-118.0685,Ozone,0.011333
2024-01-13,34.01029,-118.0685,Ozone,0.014042
2024-01-13,34.01029,-118.0685,Ozone,0.016176
2024-01-14,34.01029,-118.0685,Ozone,0.018042
2024-01-14,34.01029,-118.0685,Ozone,0.021588
2024-01-15,34.01029,-118.0685,Ozone,0.015353
2024-01-15,34.01029,-118.0685,Ozone,0.012625
2024-01-16,34.01029,-118.0685,Ozone,0.011542
2024-01-16,34.01029,-118.0685,Ozone,0.014529
2024-01-17,34.01029,-118.0685,Ozone,0.011529
2024-01-17,34.01029,-118.0685,Ozone,0.010292
2024-01-18,34.01029,-118.0685,Ozone,0.013353
2024-01-18,34.01029,-118.0685,Ozone,0.011708
2024-01-19,34.01029,-118.0685,Ozone,0.012588
2024-01-19,34.01029,-118.0685,Ozone,0.009667
2024-01-20,34.01029,-118.0685,Ozone,0.013667
2024-01-20,34.01029,-118.0685,Ozone,0.016529
2024-01-21,34.01029,-118.0685,Ozone,0.025059
2024-01-21,34.01029,-118.0685,Ozone,0.018583
2024-01-22,34.01029,-118.0685,Ozone,0.017458
2024-01-22,34.01029,-118.0685,Ozone,0.012235
2024-01-23,34.01029,-118.0685,Ozone,0.014708
2024-01-23,34.01029,-118.0685,Ozone,0.016588
2024-01-24,34.01029,-118.0685,Ozone,0.012625
2024-01-24,34.01029,-118.0685,Ozone,0.018529
2024-01-25,34.01029,-118.0685,Ozone,0.013
2024-01-25,34.01029,-118.0685,Ozone,0.017792
