system:index,covcd,date,lat,long,.geo
20201231T234906_20210102T134105,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T013036_20210102T152036,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T031206_20210102T170040,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T045336_20210102T184045,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T063506_20210102T202050,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T081636_20210102T220055,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T095806_20210102T234124,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T113936_20210103T013132,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T132106_20210103T031107,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T150236_20210103T045109,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T164406_20210103T063113,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T182536_20210103T081117,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T200706_20210103T095121,0.036837768556562595,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T214836_20210103T113125,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T233006_20210103T132201,,2021-01-01,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T011136_20210103T150138,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T025306_20210103T164143,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T043435_20210103T182147,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T061605_20210103T200153,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T075736_20210103T214158,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T093906_20210103T232202,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T112036_20210104T011238,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T130206_20210104T025212,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T144336_20210104T043214,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T162505_20210104T061217,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T180635_20210104T075220,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T194805_20210104T093225,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T212936_20210104T111229,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T231106_20210104T130305,,2021-01-02,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T005236_20210104T144238,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T023405_20210104T162244,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T041535_20210104T180250,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T055705_20210104T194255,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T073835_20210104T212300,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T092006_20210104T230304,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T110136_20210105T005334,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T124306_20210105T023342,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T142436_20210105T041317,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T160605_20210105T055320,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T174735_20210105T073324,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T192905_20210105T091329,0.03507553413506036,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T211036_20210105T105333,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T225206_20210105T124409,,2021-01-03,34.01029,-118.0685,"{""type"":""MultiPoint"",""coordinates"":[]}"
