system:index,covcd,date,lat,long,.geo
20210701T000826_20210702T135103,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T014955_20210702T154038,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T033125_20210702T172045,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T051255_20210702T190045,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T065425_20210702T204048,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T083555_20210702T222055,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T101725_20210703T000056,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T115854_20210703T014126,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T134024_20210703T033102,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T152154_20210703T051104,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T170324_20210703T065107,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T184453_20210706T172740,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T202623_20210706T161300,0.03466514515748048,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T220753_20210707T075637,,2021-07-01,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T234923_20210707T101859,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T013053_20210706T172836,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T031222_20210706T172916,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T045352_20210706T172947,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T063522_20210706T173022,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T081652_20210706T173056,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T095822_20210706T173131,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T113951_20210706T173208,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T132121_20210706T173245,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T150251_20210706T173316,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T164421_20210706T173346,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T182550_20210706T173423,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T200720_20210706T173457,0.03135459808562201,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T214850_20210706T173534,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T233020_20210706T161204,,2021-07-02,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T011150_20210706T161217,,2021-07-03,34.1326,-118.1272,"{""type"":""MultiPoint"",""coordinates"":[]}"
