system:index,covcd,date,lat,long,.geo
20220101T004639_20220102T143525,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T022809_20220102T161529,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T040939_20220102T175602,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T055109_20220102T193538,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T073239_20220102T211545,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T091410_20220102T225549,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T105540_20220103T004623,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T123710_20220103T022556,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T141839_20220103T040559,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T160009_20220103T054602,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T174139_20220103T072606,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T192309_20220103T090610,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T210439_20220103T105613,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T224610_20220103T123644,,2022-01-01,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T002740_20220103T141623,,2022-01-02,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T020910_20220103T155625,,2022-01-02,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T035039_20220103T173628,,2022-01-02,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T053209_20220103T191700,,2022-01-02,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T071339_20220103T205636,,2022-01-02,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T085510_20220103T224641,,2022-01-02,34.276316,-118.683685,"{""type"":""MultiPoint"",""coordinates"":[]}"
