system:index,covcd,date,lat,long,.geo
20220701T010600_20220702T145114,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T024730_20220702T163117,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T042859_20220702T181121,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T061029_20220702T200124,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T075159_20220702T214128,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T093329_20220702T232131,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T111459_20220703T010207,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T125629_20220705T133412,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T143758_20220705T144348,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T161928_20220703T060143,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T180058_20220703T075142,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T194228_20220703T093145,0.027669319882977227,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T212358_20220703T111148,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T230527_20220703T125159,,2022-07-01,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T004657_20220703T143155,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T022827_20220703T161201,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T040957_20220703T175204,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T055126_20220703T194207,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T073256_20220703T212211,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T091426_20220703T230214,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T105556_20220704T004243,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T123726_20220704T022222,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T141856_20220704T040226,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T160025_20220704T054230,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T174155_20220704T073235,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T192325_20220704T091238,0.026910580694664066,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T210455_20220704T105241,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T224625_20220704T123308,,2022-07-02,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T002754_20220704T141248,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T020924_20220704T155320,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T035054_20220704T173255,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T053224_20220704T192258,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T071353_20220704T210303,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T085523_20220704T224307,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T103653_20220705T002311,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T121823_20220705T020338,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T135953_20220705T034317,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T154122_20220705T052321,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T172252_20220705T071324,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T190422_20220705T085329,,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220703T204552_20220705T103332,0.02902751043437684,2022-07-03,34.06659,-118.22688,"{""type"":""MultiPoint"",""coordinates"":[]}"
