,date,lat,long,prcp,locationName,srad,tmax,vp,mean_ozone,system:index,ndvi,.geo
294,2022-11-03,34.276316,-118.683685,0.0,simiValley,257.3699951171875,15.539999961853027,356.9800109863281,0.026217,2022_11_03,0.3738929331302643,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,2022-11-19,34.01029,-118.0685,0.0,picoRivera,310.3299865722656,25.600000381469727,986.77001953125,0.015826,2022_11_19,0.2497365474700927,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2022-03-29,34.05111,-118.45636,0.0,westLA,387.7300109863281,19.40999984741211,616.6599731445312,0.025765,2022_03_29,0.1759803891181945,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,2022-11-20,34.01029,-118.0685,0.0,picoRivera,307.75,26.729999542236328,1038.050048828125,0.015667,2022_11_20,0.4700704216957092,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2022-05-15,34.19925,-118.53276,0.0,reseda,539.4400024414062,31.549999237060547,651.510009765625,0.044375,2022_05_15,0.2916383445262909,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2022-06-24,34.276316,-118.683685,0.0,simiValley,519.1900024414062,35.16999816894531,806.530029296875,0.04287,2022_06_24,0.2953707575798034,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2022-11-02,34.276316,-118.683685,0.0,simiValley,239.32000732421875,18.63999938964844,465.6300048828125,0.030435,2022_11_02,0.2938388586044311,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2022-03-20,34.01029,-118.0685,0.0,picoRivera,394.3299865722656,24.90999984741211,829.8099975585938,0.033,2022_03_20,0.2786516845226288,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2022-06-15,34.19925,-118.53276,0.0,reseda,551.4299926757812,32.779998779296875,672.02001953125,0.045125,2022_06_15,0.2399290651082992,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2022-07-30,34.06659,-118.22688,0.0,mainLA,466.5499877929688,30.84000015258789,834.4400024414062,0.0225,2022_07_30,0.0270120780915021,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2022-02-03,34.1326,-118.1272,0.0,Pasadena,336.5299987792969,20.56999969482422,939.719970703125,0.01625,2022_02_03,0.5078533887863159,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2022-01-03,34.181977,-118.363036,0.0,northHollywood,274.5299987792969,18.51000022888184,803.4400024414062,0.011042,2022_01_03,0.3294855654239654,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2022-05-29,34.1326,-118.1272,0.0,Pasadena,442.2799987792969,24.399999618530277,772.6900024414062,0.030417,2022_05_29,0.5345967411994934,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-02-15,34.06659,-118.22688,0.0,mainLA,206.8300018310547,17.899999618530273,1261.6600341796875,0.033875,2022_02_15,0.0331632643938064,"{""type"":""MultiPoint"",""coordinates"":[]}"
321,2022-11-30,34.1326,-118.1272,0.0,Pasadena,182.07000732421875,16.530000686645508,1136.47998046875,0.023,2022_11_30,0.3357894718647003,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2022-09-14,33.901389,-118.205,0.0,compton,347.8500061035156,27.600000381469727,896.9299926757812,0.0255,2022_09_14,0.212721586227417,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,2022-11-16,34.06659,-118.22688,0.0,mainLA,314.6300048828125,25.13999938964844,1000.6599731445312,0.010158,2022_11_16,0.191726341843605,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2022-06-07,34.276316,-118.683685,0.0,simiValley,514.3200073242188,29.850000381469727,626.5399780273438,0.034565,2022_06_07,0.3335561454296112,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2022-06-09,34.01029,-118.0685,0.0,picoRivera,528.9500122070312,30.07999992370605,709.0900268554688,0.044588,2022_06_09,0.2889908254146576,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2022-06-23,34.19925,-118.53276,0.0,reseda,503.8999938964844,34.689998626708984,860.8699951171875,0.038125,2022_06_23,0.311930239200592,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2022-02-02,34.1326,-118.1272,0.0,Pasadena,311.19000244140625,19.020000457763672,959.0999755859376,0.020708,2022_02_02,0.5207570195198059,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-01-18,34.1326,-118.1272,0.0,Pasadena,134.27999877929688,17.270000457763672,1394.93994140625,0.021059,2022_01_18,0.4017674922943115,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2022-06-25,34.06659,-118.22688,0.0,mainLA,567.4600219726562,32.310001373291016,683.2100219726562,0.029375,2022_06_25,0.2118390351533889,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2022-08-24,34.05111,-118.45636,0.0,westLA,466.6700134277344,29.46999931335449,813.5599975585938,0.024294,2022_08_24,0.1877272725105285,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2022-05-06,34.19925,-118.53276,0.0,reseda,491.1099853515625,27.540000915527344,602.010009765625,0.038958,2022_05_06,0.3406843841075897,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2022-02-18,34.06659,-118.22688,0.0,mainLA,359.4100036621094,24.809999465942383,1021.6900024414062,0.018917,2022_02_18,0.2996910512447357,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2022-07-06,34.1326,-118.1272,0.0,Pasadena,476.8500061035156,31.040000915527344,728.469970703125,0.016824,2022_07_06,0.5182376503944397,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,2022-11-11,34.06659,-118.22688,0.0,mainLA,326.8699951171875,22.479999542236328,913.9400024414062,0.014958,2022_11_11,0.2339711338281631,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2022-07-26,34.276316,-118.683685,0.0,simiValley,501.6499938964844,31.489999771118164,655.4600219726562,0.034609,2022_07_26,0.248992383480072,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2022-03-02,34.06659,-118.22688,0.0,mainLA,380.80999755859375,27.149999618530277,1147.800048828125,0.018542,2022_03_02,0.2388993054628372,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2022-06-04,34.01029,-118.0685,0.0,picoRivera,384.3500061035156,24.8799991607666,716.5999755859375,0.036542,2022_06_04,0.0165260918438434,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2022-06-22,34.01029,-118.0685,2.509999990463257,picoRivera,389.489990234375,31.989999771118164,794.8599853515625,0.0245,2022_06_22,0.0385378561913967,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2022-01-03,34.05111,-118.45636,0.0,westLA,263.3500061035156,17.139999389648438,900.1699829101562,0.017417,2022_01_03,0.1617681086063385,"{""type"":""MultiPoint"",""coordinates"":[]}"
