system:index,date,hchovcd,lat,long,.geo
20210701T000826_20210702T171003,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T014955_20210702T185419,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T033125_20210702T202355,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T051255_20210702T222134,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T065425_20210702T235642,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T083555_20210703T014328,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T101725_20210703T045013,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T115854_20210703T054930,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T134024_20210703T065222,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T152154_20210703T083838,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T170324_20210703T102338,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T184453_20210706T205035,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T202623_20210707T093156,2021-07-01,5.81183593797701E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T220753_20210707T112646,2021-07-01,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T234923_20210707T135617,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T013053_20210706T205621,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T031222_20210706T203330,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T045352_20210706T210059,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T063522_20210706T210209,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T081652_20210706T210254,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T095822_20210706T232335,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T113951_20210706T232556,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T132121_20210706T232935,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T150251_20210706T235533,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T164421_20210707T050441,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T182550_20210706T235629,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T200720_20210706T235317,2021-07-02,4.0053055272449157E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T214850_20210707T072229,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T233020_20210706T193810,2021-07-02,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T011150_20210706T194023,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T025319_20210707T090903,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T043449_20210707T091806,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T061619_20210707T092355,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T075749_20210707T093914,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T093919_20210707T152946,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T112048_20210707T153735,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T130218_20210707T154804,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T144348_20210707T185829,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T162517_20210707T211643,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T180647_20210707T225005,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T194817_20210708T004516,2021-07-03,7.17896677088199E-4,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T212947_20210708T004133,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210703T231117_20210708T021559,2021-07-03,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T005246_20210708T023100,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T023416_20210708T022122,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T041546_20210708T044334,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T055716_20210708T050751,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T073846_20210708T051356,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T092015_20210708T074354,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T110145_20210708T213945,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T124315_20210708T113705,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T142445_20210708T192437,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T160614_20210708T154944,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T174744_20210708T155050,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T192914_20210708T155849,2021-07-04,-6.768087041566233E-5,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T211044_20210708T160219,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210704T225214_20210709T062441,2021-07-04,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T003343_20210709T124539,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T021513_20210709T145048,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T035643_20210709T155823,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T053812_20210709T160223,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T071942_20210709T184201,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T090112_20210709T185921,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T104242_20210710T040844,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210705T122412_20210710T114531,2021-07-05,,34.05111,-118.45636,"{""type"":""MultiPoint"",""coordinates"":[]}"
