system:index,date,hchovcd,lat,long,.geo
20220101T004639_20220102T162523,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T022809_20220102T182339,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T040939_20220102T201551,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T055109_20220102T220617,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T073239_20220102T233236,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T091410_20220103T011952,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T105540_20220103T031613,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T123710_20220103T045222,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T141839_20220103T061642,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T160009_20220103T075143,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T174139_20220103T094541,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T192309_20220103T113130,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T210439_20220103T131536,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T224610_20220103T143347,2022-01-01,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T002740_20220103T160858,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T020910_20220103T180228,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T035039_20220103T195522,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T053209_20220103T214654,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T071339_20220103T231859,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T085510_20220104T010245,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T103640_20220104T024824,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T121810_20220104T043906,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T135940_20220104T054921,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T154110_20220104T073202,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T172240_20220104T092933,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T190410_20220104T111057,2022-01-02,2.3868571058416002E-4,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T204540_20220104T125705,2022-01-02,1.2385216975861153E-4,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T222710_20220104T141444,2022-01-02,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T000840_20220104T155210,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T015010_20220104T174247,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T033140_20220104T193513,2022-01-03,,34.19925,-118.53276,"{""type"":""MultiPoint"",""coordinates"":[]}"
