system:index,date,lat,long,no2vcd,.geo
20201231T234906_20210102T163556,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T013036_20210102T182734,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T031206_20210102T203539,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T045336_20210102T224253,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T063506_20210103T000725,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T081636_20210103T013027,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T095806_20210103T031533,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T113936_20210103T052526,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T132106_20210103T065111,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T150236_20210103T081253,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T164406_20210103T101749,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T182536_20210103T120105,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T200706_20210103T132105,2021-01-01,34.1326,-118.1272,1.3477051346529628E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T214836_20210103T151240,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T233006_20210103T162238,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T011136_20210103T181536,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T025306_20210103T200928,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T043435_20210103T222125,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T061605_20210103T234721,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T075736_20210104T010453,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T093906_20210104T025540,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T112036_20210104T045527,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T130206_20210104T070454,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T144336_20210104T080015,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T162505_20210104T094841,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T180635_20210104T115856,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T194805_20210104T130711,2021-01-02,34.1326,-118.1272,2.818572684187723E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T212936_20210104T144641,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T231106_20210104T161947,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T005236_20210104T180216,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T023405_20210104T200733,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T041535_20210104T213918,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T055705_20210104T233548,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T073835_20210105T010211,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T092006_20210105T024534,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T110136_20210105T050508,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T124306_20210105T064451,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T142436_20210105T073424,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T160605_20210105T092346,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T174735_20210105T113552,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T192905_20210105T130020,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T211036_20210105T143122,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T225206_20210105T161550,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T003336_20210105T173705,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T021506_20210105T191828,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T035635_20210105T211653,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T053805_20210105T225431,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T071936_20210106T002315,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T090106_20210106T023516,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T104236_20210106T041927,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T122406_20210106T062640,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T140536_20210106T081214,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T154706_20210106T091611,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T172836_20210106T110645,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
