system:index,date,lat,long,no2vcd,.geo
20210701T000826_20210702T171007,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T014955_20210702T185423,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T033125_20210702T202400,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T051255_20210702T222138,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T065425_20210702T235647,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T083555_20210703T014332,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T101725_20210703T045015,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T115854_20210703T054933,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T134024_20210703T065225,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T152154_20210703T083841,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T170324_20210703T102341,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T184453_20210706T205053,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T202623_20210707T093219,2021-07-01,34.181977,-118.363036,4.261336306531856E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T220753_20210707T112709,2021-07-01,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701T234923_20210707T135637,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T013053_20210706T205639,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T031222_20210706T203348,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T045352_20210706T210117,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T063522_20210706T210227,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T081652_20210706T210313,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T095822_20210706T232354,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T113951_20210706T232617,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T132121_20210706T232958,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T150251_20210706T235552,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T164421_20210707T050503,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T182550_20210706T235647,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T200720_20210706T235336,2021-07-02,34.181977,-118.363036,4.848233584196119E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210702T214850_20210707T072248,2021-07-02,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
