system:index,date,lat,long,no2vcd,.geo
20220101T004639_20220102T162528,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T022809_20220102T182342,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T040939_20220102T201555,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T055109_20220102T220621,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T073239_20220102T233240,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T091410_20220103T011956,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T105540_20220103T031616,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T123710_20220103T045226,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T141839_20220103T061646,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T160009_20220103T075147,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T174139_20220103T094545,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T192309_20220103T113134,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T210439_20220103T131540,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T224610_20220103T143351,2022-01-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T002740_20220103T160903,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T020910_20220103T180233,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T035039_20220103T195526,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T053209_20220103T214659,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T071339_20220103T231904,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T085510_20220104T010250,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T103640_20220104T024829,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T121810_20220104T043910,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T135940_20220104T054924,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T154110_20220104T073207,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T172240_20220104T092937,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T190410_20220104T111100,2022-01-02,34.19925,-118.53276,1.0544084943819018E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T204540_20220104T125708,2022-01-02,34.19925,-118.53276,8.954566146702602E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T222710_20220104T141449,2022-01-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T000840_20220104T155215,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T015010_20220104T174251,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T033140_20220104T193519,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T051310_20220104T212452,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T065440_20220104T225522,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T083610_20220105T004300,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T101740_20220105T023346,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T115910_20220105T042142,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T134040_20220105T052507,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T152210_20220105T071734,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T170340_20220105T090419,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T184510_20220105T105920,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T202640_20220105T122847,2022-01-03,34.19925,-118.53276,2.2726774192298758E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T220810_20220105T140117,2022-01-03,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T234940_20220105T153743,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T013110_20220105T171959,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T031240_20220105T191658,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T045410_20220105T210043,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T063540_20220105T223530,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T081710_20220106T002309,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T095840_20220106T021658,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T114010_20220106T035313,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T132140_20220106T051829,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T150310_20220106T065406,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T164440_20220106T085512,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T182610_20220106T104229,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T200740_20220106T122145,2022-01-04,34.19925,-118.53276,3.838111588261397E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T214910_20220106T134210,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T233040_20220106T152816,2022-01-04,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T011210_20220106T165326,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T025340_20220106T185800,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T043510_20220106T204345,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T061640_20220106T221423,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T075810_20220107T000622,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T093941_20220107T015252,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T112111_20220107T033410,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T130241_20220107T051341,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T144411_20220107T064413,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T162541_20220107T082306,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T180711_20220107T102236,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T194841_20220107T115911,2022-01-05,34.19925,-118.53276,8.221759400258639E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T213011_20220107T132412,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T231141_20220107T145902,2022-01-05,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T005311_20220107T164345,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T023441_20220107T183700,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T041611_20220107T202424,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T055741_20220107T215843,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T073911_20220107T235137,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T092041_20220108T012826,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T110211_20220108T031816,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T124341_20220108T045827,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T142511_20220108T061832,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T160641_20220108T080756,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T174811_20220108T100301,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T192941_20220108T113801,2022-01-06,34.19925,-118.53276,1.9319468992740372E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T211111_20220108T130736,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T225242_20220108T143512,2022-01-06,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T003412_20220108T162457,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T021542_20220108T181259,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T035712_20220108T200350,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T053842_20220108T214756,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T072012_20220108T232940,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T090142_20220109T011124,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T104312_20220109T025620,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T122442_20220109T044250,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T140612_20220109T060441,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T154742_20220109T073934,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T172912_20220109T093630,2022-01-07,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T191042_20220109T112626,2022-01-07,34.19925,-118.53276,2.6595606470814154E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T205212_20220109T125402,2022-01-07,34.19925,-118.53276,3.634222084652239E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
