system:index,date,lat,long,no2vcd,.geo
20220701T010600_20220702T164802,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T024730_20220702T182812,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T042859_20220702T202011,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T061029_20220702T221007,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T075159_20220702T235401,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T093329_20220703T015033,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T111459_20220703T032813,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T125629_20220705T155449,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T143758_20220705T164946,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T161928_20220703T080802,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T180058_20220703T100843,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T194228_20220703T115306,2022-07-01,34.01029,-118.0685,1.896884554950224E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T212358_20220703T132212,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T230527_20220703T145055,2022-07-01,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T004657_20220703T162928,2022-07-02,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T022827_20220703T180630,2022-07-02,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T040957_20220703T200607,2022-07-02,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T055126_20220703T215042,2022-07-02,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T073256_20220703T233129,2022-07-02,34.01029,-118.0685,,"{""type"":""MultiPoint"",""coordinates"":[]}"
