system:index,date,lat,long,vcd,.geo
20201231T234906_20210102T163551,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T013036_20210102T182728,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T031206_20210102T203532,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T045336_20210102T224247,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T063506_20210103T000719,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T081636_20210103T013023,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T095806_20210103T031528,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T113936_20210103T052522,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T132106_20210103T065107,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T150236_20210103T081248,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T164406_20210103T101745,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T182536_20210103T120101,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T200706_20210103T132100,2021-01-01,34.1326,-118.1272,0.13889731696825888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T214836_20210103T151234,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T233006_20210103T162233,2021-01-01,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T011136_20210103T181530,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T025306_20210103T200922,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T043435_20210103T222119,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T061605_20210103T234716,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T075736_20210104T010447,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T093906_20210104T025535,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T112036_20210104T045523,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T130206_20210104T070451,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T144336_20210104T080009,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T162505_20210104T094837,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T180635_20210104T115852,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T194805_20210104T130705,2021-01-02,34.1326,-118.1272,0.13580323755724522,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T212936_20210104T144637,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T231106_20210104T161942,2021-01-02,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T005236_20210104T180211,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T023405_20210104T200727,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T041535_20210104T213912,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T055705_20210104T233543,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T073835_20210105T010206,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T092006_20210105T024529,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T110136_20210105T050505,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T124306_20210105T064446,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T142436_20210105T073419,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T160605_20210105T092342,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T174735_20210105T113547,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T192905_20210105T130014,2021-01-03,34.1326,-118.1272,0.1297581743574089,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T211036_20210105T143117,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103T225206_20210105T161544,2021-01-03,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T003336_20210105T173701,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T021506_20210105T191822,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T035635_20210105T211647,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T053805_20210105T225424,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T071936_20210106T002308,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T090106_20210106T023511,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T104236_20210106T041922,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T122406_20210106T062636,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T140536_20210106T081210,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T154706_20210106T091607,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T172836_20210106T110640,2021-01-04,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104T191006_20210106T123751,2021-01-04,34.1326,-118.1272,0.134626299142673,"{""type"":""MultiPoint"",""coordinates"":[]}"
