system:index,date,lat,long,vcd,.geo
20220701T010600_20220702T164757,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T024730_20220702T182808,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T042859_20220702T202006,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T061029_20220702T221002,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T075159_20220702T235356,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T093329_20220703T015029,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T111459_20220703T032810,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T125629_20220705T155443,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T143758_20220705T164942,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T161928_20220703T080759,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T180058_20220703T100840,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T194228_20220703T115304,2022-07-01,34.19925,-118.53276,0.1325798332690632,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T212358_20220703T132209,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701T230527_20220703T145051,2022-07-01,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T004657_20220703T162924,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T022827_20220703T180625,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T040957_20220703T200603,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T055126_20220703T215037,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T073256_20220703T233124,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T091426_20220704T012850,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T105556_20220704T030716,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220702T123726_20220704T044902,2022-07-02,34.19925,-118.53276,,"{""type"":""MultiPoint"",""coordinates"":[]}"
